Jul 21 16:39:48.165915 np0000040031 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Jul 21 16:39:48.173899 np0000040031 memory_tracker.sh[44377]: [[[
Jul 21 16:39:48.174776 np0000040031 memory_tracker.sh[44393]: Tue Jul 21 16:39:48 UTC 2026
Jul 21 16:39:48.174863 np0000040031 memory_tracker.sh[44377]: ---
Jul 21 16:39:48.229428 np0000040031 memory_tracker.sh[44397]: [iscsid (pid:35297)]=14172KB; [multipathd (pid:370)]=288932KB; [ovs-vswitchd (pid:30893)]=901120KB
Jul 21 16:39:48.235524 np0000040031 memory_tracker.sh[44377]: ]]]
Jul 21 16:40:08.239977 np0000040031 memory_tracker.sh[44377]: [[[
Jul 21 16:40:08.241673 np0000040031 memory_tracker.sh[47941]: Tue Jul 21 16:40:08 UTC 2026
Jul 21 16:40:08.241859 np0000040031 memory_tracker.sh[44377]: ---
Jul 21 16:40:08.241859 np0000040031 memory_tracker.sh[44377]: memory_tracker low_point: 6253464
Jul 21 16:40:08.241859 np0000040031 memory_tracker.sh[44377]: ---
Jul 21 16:40:08.241916 np0000040031 memory_tracker.sh[47942]: MemTotal:        8129360 kB
Jul 21 16:40:08.241916 np0000040031 memory_tracker.sh[47942]: MemFree:          174784 kB
Jul 21 16:40:08.241916 np0000040031 memory_tracker.sh[47942]: MemAvailable:    6253464 kB
Jul 21 16:40:08.241916 np0000040031 memory_tracker.sh[47942]: Buffers:          197564 kB
Jul 21 16:40:08.241916 np0000040031 memory_tracker.sh[47942]: Cached:          5826092 kB
Jul 21 16:40:08.241916 np0000040031 memory_tracker.sh[47942]: SwapCached:            0 kB
Jul 21 16:40:08.241916 np0000040031 memory_tracker.sh[47942]: Active:          1302796 kB
Jul 21 16:40:08.241916 np0000040031 memory_tracker.sh[47942]: Inactive:        5664656 kB
Jul 21 16:40:08.241916 np0000040031 memory_tracker.sh[47942]: Active(anon):     992672 kB
Jul 21 16:40:08.241916 np0000040031 memory_tracker.sh[47942]: Inactive(anon):   125848 kB
Jul 21 16:40:08.241916 np0000040031 memory_tracker.sh[47942]: Active(file):     310124 kB
Jul 21 16:40:08.241916 np0000040031 memory_tracker.sh[47942]: Inactive(file):  5538808 kB
Jul 21 16:40:08.241916 np0000040031 memory_tracker.sh[47942]: Unevictable:      143588 kB
Jul 21 16:40:08.241916 np0000040031 memory_tracker.sh[47942]: Mlocked:          142388 kB
Jul 21 16:40:08.241916 np0000040031 memory_tracker.sh[47942]: SwapTotal:       8388604 kB
Jul 21 16:40:08.241916 np0000040031 memory_tracker.sh[47942]: SwapFree:        8388336 kB
Jul 21 16:40:08.241916 np0000040031 memory_tracker.sh[47942]: Zswap:               336 kB
Jul 21 16:40:08.241916 np0000040031 memory_tracker.sh[47942]: Zswapped:             68 kB
Jul 21 16:40:08.241916 np0000040031 memory_tracker.sh[47942]: Dirty:            154460 kB
Jul 21 16:40:08.241916 np0000040031 memory_tracker.sh[47942]: Writeback:             0 kB
Jul 21 16:40:08.241916 np0000040031 memory_tracker.sh[47942]: AnonPages:       1087324 kB
Jul 21 16:40:08.241916 np0000040031 memory_tracker.sh[47942]: Mapped:           185104 kB
Jul 21 16:40:08.241916 np0000040031 memory_tracker.sh[47942]: Shmem:            154856 kB
Jul 21 16:40:08.241916 np0000040031 memory_tracker.sh[47942]: KReclaimable:     539300 kB
Jul 21 16:40:08.241916 np0000040031 memory_tracker.sh[47942]: Slab:             656280 kB
Jul 21 16:40:08.241916 np0000040031 memory_tracker.sh[47942]: SReclaimable:     539300 kB
Jul 21 16:40:08.241916 np0000040031 memory_tracker.sh[47942]: SUnreclaim:       116980 kB
Jul 21 16:40:08.241916 np0000040031 memory_tracker.sh[47942]: KernelStack:        8616 kB
Jul 21 16:40:08.241916 np0000040031 memory_tracker.sh[47942]: PageTables:        10572 kB
Jul 21 16:40:08.241916 np0000040031 memory_tracker.sh[47942]: SecPageTables:         0 kB
Jul 21 16:40:08.241916 np0000040031 memory_tracker.sh[47942]: NFS_Unstable:          0 kB
Jul 21 16:40:08.241916 np0000040031 memory_tracker.sh[47942]: Bounce:                0 kB
Jul 21 16:40:08.241916 np0000040031 memory_tracker.sh[47942]: WritebackTmp:          0 kB
Jul 21 16:40:08.241916 np0000040031 memory_tracker.sh[47942]: CommitLimit:    12453284 kB
Jul 21 16:40:08.241916 np0000040031 memory_tracker.sh[47942]: Committed_AS:    2914980 kB
Jul 21 16:40:08.241916 np0000040031 memory_tracker.sh[47942]: VmallocTotal:   13743895347199 kB
Jul 21 16:40:08.241916 np0000040031 memory_tracker.sh[47942]: VmallocUsed:       26876 kB
Jul 21 16:40:08.241916 np0000040031 memory_tracker.sh[47942]: VmallocChunk:          0 kB
Jul 21 16:40:08.241916 np0000040031 memory_tracker.sh[47942]: Percpu:             4864 kB
Jul 21 16:40:08.241916 np0000040031 memory_tracker.sh[47942]: HardwareCorrupted:     0 kB
Jul 21 16:40:08.241916 np0000040031 memory_tracker.sh[47942]: AnonHugePages:         0 kB
Jul 21 16:40:08.241916 np0000040031 memory_tracker.sh[47942]: ShmemHugePages:        0 kB
Jul 21 16:40:08.241916 np0000040031 memory_tracker.sh[47942]: ShmemPmdMapped:        0 kB
Jul 21 16:40:08.241916 np0000040031 memory_tracker.sh[47942]: FileHugePages:         0 kB
Jul 21 16:40:08.241916 np0000040031 memory_tracker.sh[47942]: FilePmdMapped:         0 kB
Jul 21 16:40:08.241916 np0000040031 memory_tracker.sh[47942]: Unaccepted:            0 kB
Jul 21 16:40:08.241916 np0000040031 memory_tracker.sh[47942]: HugePages_Total:       0
Jul 21 16:40:08.241916 np0000040031 memory_tracker.sh[47942]: HugePages_Free:        0
Jul 21 16:40:08.241916 np0000040031 memory_tracker.sh[47942]: HugePages_Rsvd:        0
Jul 21 16:40:08.241916 np0000040031 memory_tracker.sh[47942]: HugePages_Surp:        0
Jul 21 16:40:08.241916 np0000040031 memory_tracker.sh[47942]: Hugepagesize:       2048 kB
Jul 21 16:40:08.241916 np0000040031 memory_tracker.sh[47942]: Hugetlb:               0 kB
Jul 21 16:40:08.241916 np0000040031 memory_tracker.sh[47942]: DirectMap4k:      251756 kB
Jul 21 16:40:08.241916 np0000040031 memory_tracker.sh[47942]: DirectMap2M:     7088128 kB
Jul 21 16:40:08.241916 np0000040031 memory_tracker.sh[47942]: DirectMap1G:     3145728 kB
Jul 21 16:40:08.242681 np0000040031 memory_tracker.sh[44377]: ---
Jul 21 16:40:08.252419 np0000040031 memory_tracker.sh[47944]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Jul 21 16:40:08.252419 np0000040031 memory_tracker.sh[47944]:      43735    5.1          415448          1   00:00:01       40 do_poll.constprop.0       /usr/sbin/mysqld
Jul 21 16:40:08.252419 np0000040031 memory_tracker.sh[47944]:      46753    1.7          139576      46752   00:00:03        2 -                         keystoneuWSGI worker 1
Jul 21 16:40:08.252419 np0000040031 memory_tracker.sh[47944]:      46754    1.7          139364      46752   00:00:03        2 ep_poll                   keystoneuWSGI worker 2
Jul 21 16:40:08.252419 np0000040031 memory_tracker.sh[47944]:      17506    1.7          139128          1   00:00:03       32 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Jul 21 16:40:08.252419 np0000040031 memory_tracker.sh[47944]:      30893    1.4          116228          1   00:00:00       13 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Jul 21 16:40:08.252419 np0000040031 memory_tracker.sh[47944]:      42999    1.4          115968          1   00:00:01        1 wait_woken                /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Jul 21 16:40:08.252419 np0000040031 memory_tracker.sh[47944]:      10883    0.4           40632      10881   00:00:00        8 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Jul 21 16:40:08.252775 np0000040031 memory_tracker.sh[47944]:      45512    0.3           27684          1   00:00:00       11 futex_wait_queue          /opt/stack/bin/etcd --name np0000040031 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000040031=http://192.168.1.132:2380 --initial-advertise-peer-urls http://192.168.1.132:2380 --advertise-client-urls http://192.168.1.132:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://192.168.1.132:2379 --log-level=debug
Jul 21 16:40:08.252775 np0000040031 memory_tracker.sh[47944]:        370    0.3           27296          1   00:00:00        7 futex_wait_queue          /sbin/multipathd -d -s
Jul 21 16:40:08.252775 np0000040031 memory_tracker.sh[47944]:      39642    0.3           26716          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Jul 21 16:40:08.252775 np0000040031 memory_tracker.sh[47944]:       2401    0.3           26484       2400   00:00:00        2 do_wait                   /usr/bin/python3
Jul 21 16:40:08.252775 np0000040031 memory_tracker.sh[47944]:      16459    0.2           21932          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-journald
Jul 21 16:40:08.252775 np0000040031 memory_tracker.sh[47944]:       2178    0.2           21012          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Jul 21 16:40:08.252775 np0000040031 memory_tracker.sh[47944]:       1291    0.2           20488          1   00:01:15        2 inet_csk_accept           /usr/bin/python3
Jul 21 16:40:08.252775 np0000040031 memory_tracker.sh[47944]:      46752    0.2           19464          1   00:00:00        1 ep_poll                   keystoneuWSGI master
Jul 21 16:40:08.252775 np0000040031 memory_tracker.sh[47944]:      39677    0.1           15596          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Jul 21 16:40:08.252775 np0000040031 memory_tracker.sh[47944]:      33216    0.1           15436          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Jul 21 16:40:08.252775 np0000040031 memory_tracker.sh[47944]:      47079    0.1           15160      47073   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Jul 21 16:40:08.252775 np0000040031 memory_tracker.sh[47944]:      47077    0.1           14392      47073   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Jul 21 16:40:08.252775 np0000040031 memory_tracker.sh[47944]:      35297    0.1           14180          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Jul 21 16:40:08.252775 np0000040031 memory_tracker.sh[47944]:          1    0.1           13972          0   00:00:10        1 ep_poll                   /sbin/init nofb
Jul 21 16:40:08.252990 np0000040031 memory_tracker.sh[47944]:      10881    0.1           13296          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Jul 21 16:40:08.252990 np0000040031 memory_tracker.sh[47944]:        489    0.1           13060          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Jul 21 16:40:08.252990 np0000040031 memory_tracker.sh[47944]:      47156    0.1           12604          1   00:00:00       10 ep_poll                   /usr/bin/memcached -m 64 -p 11211 -u memcache -l 127.0.0.1 -l ::1 -P /var/run/memcached/memcached.pid
Jul 21 16:40:08.252990 np0000040031 memory_tracker.sh[47944]:       4616    0.1           12384       2404   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2026-07-21-163404
Jul 21 16:40:08.252990 np0000040031 memory_tracker.sh[47944]:       4621    0.1           12304       2404   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2026-07-21-163404.summary.2026-07-21-163404
Jul 21 16:40:08.252990 np0000040031 memory_tracker.sh[47944]:      47733    0.1           11688      47705   00:00:00        1 unix_stream_data_wait     python3 /opt/stack/devstack/files/openstack-cli-server/openstack --os-cloud devstack-system-admin role create anotherrole --or-show -f value -c id
Jul 21 16:40:08.252990 np0000040031 memory_tracker.sh[47944]:      47768    0.1           11644      47751   00:00:00        1 unix_stream_data_wait     python3 /opt/stack/devstack/files/openstack-cli-server/openstack --os-cloud devstack-system-admin project create invisible_to_admin --domain=default --or-show -f value -c id
Jul 21 16:40:08.252990 np0000040031 memory_tracker.sh[47944]:       1150    0.1           11496          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd --user
Jul 21 16:40:08.252990 np0000040031 memory_tracker.sh[47944]:       2404    0.1           10856       2402   00:00:02        1 pipe_read                 bash ./stack.sh
Jul 21 16:40:08.252990 np0000040031 memory_tracker.sh[47944]:        848    0.1            9616          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-networkd
Jul 21 16:40:08.252990 np0000040031 memory_tracker.sh[47944]:      47073    0.1            9528          1   00:00:00        1 do_select                 /usr/sbin/apache2 -k start
Jul 21 16:40:08.253166 np0000040031 memory_tracker.sh[47944]:        536    0.1            9468          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-logind
Jul 21 16:40:08.253166 np0000040031 memory_tracker.sh[47944]:      47284    0.1            9364       2404   00:00:00        1 do_wait                   bash ./stack.sh
Jul 21 16:40:08.253166 np0000040031 memory_tracker.sh[47944]:      42151    0.1            9360       2404   00:00:00        1 do_wait                   bash ./stack.sh
Jul 21 16:40:08.253166 np0000040031 memory_tracker.sh[47944]:      47410    0.1            9360       2404   00:00:00        1 do_wait                   bash ./stack.sh
Jul 21 16:40:08.253166 np0000040031 memory_tracker.sh[47944]:      47504    0.1            9360       2404   00:00:00        1 do_wait                   bash ./stack.sh
Jul 21 16:40:08.253166 np0000040031 memory_tracker.sh[47944]:      47598    0.1            9360       2404   00:00:00        1 do_wait                   bash ./stack.sh
Jul 21 16:40:08.253166 np0000040031 memory_tracker.sh[47944]:      47694    0.1            9360       2404   00:00:00        1 pipe_read                 bash ./stack.sh
Jul 21 16:40:08.253166 np0000040031 memory_tracker.sh[47944]:      47705    0.1            9124      47694   00:00:00        1 pipe_read                 bash ./stack.sh
Jul 21 16:40:08.253166 np0000040031 memory_tracker.sh[47944]:      47751    0.1            9120      47746   00:00:00        1 pipe_read                 bash ./stack.sh
Jul 21 16:40:08.253166 np0000040031 memory_tracker.sh[47944]:      47746    0.1            9052       2404   00:00:00        1 pipe_read                 bash ./stack.sh
Jul 21 16:40:08.253166 np0000040031 memory_tracker.sh[47944]:      31377    0.1            8944          1   00:00:00        1 do_poll.constprop.0       ovsdb-server -vconsole:off -vfile:info --log-file=/var/log/ovn/ovsdb-server-sb.log --remote=punix:/var/run/ovn/ovnsb_db.sock --pidfile=/var/run/ovn/ovnsb_db.pid --unixctl=/var/run/ovn/ovnsb_db.ctl --remote=db:OVN_Southbound,SB_Global,connections --private-key=db:OVN_Southbound,SSL,private_key --certificate=db:OVN_Southbound,SSL,certificate --ca-cert=db:OVN_Southbound,SSL,ca_cert --ssl-protocols=db:OVN_Southbound,SSL,ssl_protocols --ssl-ciphers=db:OVN_Southbound,SSL,ssl_ciphers /var/lib/ovn/ovnsb_db.db
Jul 21 16:40:08.253451 np0000040031 memory_tracker.sh[47944]:      31450    0.1            8876          1   00:00:00        1 do_poll.constprop.0       ovsdb-server -vconsole:off -vfile:info --log-file=/var/log/ovn/ovsdb-server-nb.log --remote=punix:/var/run/ovn/ovnnb_db.sock --pidfile=/var/run/ovn/ovnnb_db.pid --unixctl=/var/run/ovn/ovnnb_db.ctl --remote=db:OVN_Northbound,NB_Global,connections --private-key=db:OVN_Northbound,SSL,private_key --certificate=db:OVN_Northbound,SSL,certificate --ca-cert=db:OVN_Northbound,SSL,ca_cert --ssl-protocols=db:OVN_Northbound,SSL,ssl_protocols --ssl-ciphers=db:OVN_Northbound,SSL,ssl_ciphers /var/lib/ovn/ovnnb_db.db
Jul 21 16:40:08.253451 np0000040031 memory_tracker.sh[47944]:       1124    0.1            8364          1   00:00:00        1 do_poll.constprop.0       sshd: /usr/sbin/sshd -D [listener] 0 of 10-100 startups
