Aug 24 17:24:28.687122 np0000042698 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Aug 24 17:24:28.696008 np0000042698 memory_tracker.sh[48326]: [[[
Aug 24 17:24:28.696430 np0000042698 memory_tracker.sh[48342]: Mon Aug 24 17:24:28 UTC 2026
Aug 24 17:24:28.696587 np0000042698 memory_tracker.sh[48326]: ---
Aug 24 17:24:28.755261 np0000042698 memory_tracker.sh[48346]: [iscsid (pid:39280)]=14172KB; [multipathd (pid:382)]=288932KB; [ovs-vswitchd (pid:34877)]=901128KB
Aug 24 17:24:28.762181 np0000042698 memory_tracker.sh[48326]: ]]]
Aug 24 17:24:48.767236 np0000042698 memory_tracker.sh[48326]: [[[
Aug 24 17:24:48.768043 np0000042698 memory_tracker.sh[51738]: Mon Aug 24 17:24:48 UTC 2026
Aug 24 17:24:48.768192 np0000042698 memory_tracker.sh[48326]: ---
Aug 24 17:24:48.768192 np0000042698 memory_tracker.sh[48326]: memory_tracker low_point: 6262464
Aug 24 17:24:48.768192 np0000042698 memory_tracker.sh[48326]: ---
Aug 24 17:24:48.768907 np0000042698 memory_tracker.sh[51739]: MemTotal:        8129360 kB
Aug 24 17:24:48.768907 np0000042698 memory_tracker.sh[51739]: MemFree:          208916 kB
Aug 24 17:24:48.768907 np0000042698 memory_tracker.sh[51739]: MemAvailable:    6262220 kB
Aug 24 17:24:48.768907 np0000042698 memory_tracker.sh[51739]: Buffers:          214628 kB
Aug 24 17:24:48.768907 np0000042698 memory_tracker.sh[51739]: Cached:          5782384 kB
Aug 24 17:24:48.768907 np0000042698 memory_tracker.sh[51739]: SwapCached:            0 kB
Aug 24 17:24:48.768907 np0000042698 memory_tracker.sh[51739]: Active:          1379596 kB
Aug 24 17:24:48.768907 np0000042698 memory_tracker.sh[51739]: Inactive:        5564836 kB
Aug 24 17:24:48.768907 np0000042698 memory_tracker.sh[51739]: Active(anon):     996468 kB
Aug 24 17:24:48.768907 np0000042698 memory_tracker.sh[51739]: Inactive(anon):   125688 kB
Aug 24 17:24:48.768907 np0000042698 memory_tracker.sh[51739]: Active(file):     383128 kB
Aug 24 17:24:48.768907 np0000042698 memory_tracker.sh[51739]: Inactive(file):  5439148 kB
Aug 24 17:24:48.768907 np0000042698 memory_tracker.sh[51739]: Unevictable:      143596 kB
Aug 24 17:24:48.768907 np0000042698 memory_tracker.sh[51739]: Mlocked:          142396 kB
Aug 24 17:24:48.768907 np0000042698 memory_tracker.sh[51739]: SwapTotal:       8388604 kB
Aug 24 17:24:48.768907 np0000042698 memory_tracker.sh[51739]: SwapFree:        8388336 kB
Aug 24 17:24:48.768907 np0000042698 memory_tracker.sh[51739]: Zswap:               208 kB
Aug 24 17:24:48.768907 np0000042698 memory_tracker.sh[51739]: Zswapped:             44 kB
Aug 24 17:24:48.768907 np0000042698 memory_tracker.sh[51739]: Dirty:            136316 kB
Aug 24 17:24:48.768907 np0000042698 memory_tracker.sh[51739]: Writeback:             0 kB
Aug 24 17:24:48.768907 np0000042698 memory_tracker.sh[51739]: AnonPages:       1091240 kB
Aug 24 17:24:48.768907 np0000042698 memory_tracker.sh[51739]: Mapped:           185648 kB
Aug 24 17:24:48.768907 np0000042698 memory_tracker.sh[51739]: Shmem:            154868 kB
Aug 24 17:24:48.768907 np0000042698 memory_tracker.sh[51739]: KReclaimable:     540580 kB
Aug 24 17:24:48.768907 np0000042698 memory_tracker.sh[51739]: Slab:             658216 kB
Aug 24 17:24:48.768907 np0000042698 memory_tracker.sh[51739]: SReclaimable:     540580 kB
Aug 24 17:24:48.768907 np0000042698 memory_tracker.sh[51739]: SUnreclaim:       117636 kB
Aug 24 17:24:48.768907 np0000042698 memory_tracker.sh[51739]: KernelStack:        8544 kB
Aug 24 17:24:48.768907 np0000042698 memory_tracker.sh[51739]: PageTables:        10724 kB
Aug 24 17:24:48.768907 np0000042698 memory_tracker.sh[51739]: SecPageTables:         0 kB
Aug 24 17:24:48.768907 np0000042698 memory_tracker.sh[51739]: NFS_Unstable:          0 kB
Aug 24 17:24:48.768907 np0000042698 memory_tracker.sh[51739]: Bounce:                0 kB
Aug 24 17:24:48.768907 np0000042698 memory_tracker.sh[51739]: WritebackTmp:          0 kB
Aug 24 17:24:48.768907 np0000042698 memory_tracker.sh[51739]: CommitLimit:    12453284 kB
Aug 24 17:24:48.768907 np0000042698 memory_tracker.sh[51739]: Committed_AS:    2935988 kB
Aug 24 17:24:48.768907 np0000042698 memory_tracker.sh[51739]: VmallocTotal:   13743895347199 kB
Aug 24 17:24:48.768907 np0000042698 memory_tracker.sh[51739]: VmallocUsed:       26908 kB
Aug 24 17:24:48.768907 np0000042698 memory_tracker.sh[51739]: VmallocChunk:          0 kB
Aug 24 17:24:48.768907 np0000042698 memory_tracker.sh[51739]: Percpu:             4800 kB
Aug 24 17:24:48.768907 np0000042698 memory_tracker.sh[51739]: HardwareCorrupted:     0 kB
Aug 24 17:24:48.768907 np0000042698 memory_tracker.sh[51739]: AnonHugePages:         0 kB
Aug 24 17:24:48.768907 np0000042698 memory_tracker.sh[51739]: ShmemHugePages:        0 kB
Aug 24 17:24:48.768907 np0000042698 memory_tracker.sh[51739]: ShmemPmdMapped:        0 kB
Aug 24 17:24:48.768907 np0000042698 memory_tracker.sh[51739]: FileHugePages:         0 kB
Aug 24 17:24:48.768907 np0000042698 memory_tracker.sh[51739]: FilePmdMapped:         0 kB
Aug 24 17:24:48.768907 np0000042698 memory_tracker.sh[51739]: Unaccepted:            0 kB
Aug 24 17:24:48.768907 np0000042698 memory_tracker.sh[51739]: HugePages_Total:       0
Aug 24 17:24:48.768907 np0000042698 memory_tracker.sh[51739]: HugePages_Free:        0
Aug 24 17:24:48.768907 np0000042698 memory_tracker.sh[51739]: HugePages_Rsvd:        0
Aug 24 17:24:48.768907 np0000042698 memory_tracker.sh[51739]: HugePages_Surp:        0
Aug 24 17:24:48.768907 np0000042698 memory_tracker.sh[51739]: Hugepagesize:       2048 kB
Aug 24 17:24:48.768907 np0000042698 memory_tracker.sh[51739]: Hugetlb:               0 kB
Aug 24 17:24:48.768907 np0000042698 memory_tracker.sh[51739]: DirectMap4k:      284524 kB
Aug 24 17:24:48.768907 np0000042698 memory_tracker.sh[51739]: DirectMap2M:     8103936 kB
Aug 24 17:24:48.768907 np0000042698 memory_tracker.sh[51739]: DirectMap1G:     2097152 kB
Aug 24 17:24:48.769713 np0000042698 memory_tracker.sh[48326]: ---
Aug 24 17:24:48.780386 np0000042698 memory_tracker.sh[51741]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Aug 24 17:24:48.780386 np0000042698 memory_tracker.sh[51741]:      47684    5.1          415236          1   00:00:01       40 do_poll.constprop.0       /usr/sbin/mysqld
Aug 24 17:24:48.780386 np0000042698 memory_tracker.sh[51741]:      50723    1.6          136064      50721   00:00:02        2 ep_poll                   keystoneuWSGI worker 2
Aug 24 17:24:48.780386 np0000042698 memory_tracker.sh[51741]:      50722    1.6          135580      50721   00:00:02        2 -                         keystoneuWSGI worker 1
Aug 24 17:24:48.780386 np0000042698 memory_tracker.sh[51741]:      17677    1.6          134988          1   00:00:02       32 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Aug 24 17:24:48.780386 np0000042698 memory_tracker.sh[51741]:      34877    1.4          116236          1   00:00:00       13 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Aug 24 17:24:48.780386 np0000042698 memory_tracker.sh[51741]:      46932    1.4          115276          1   00:00:01        1 wait_woken                /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Aug 24 17:24:48.780386 np0000042698 memory_tracker.sh[51741]:      11002    0.5           40656      11000   00:00:00        8 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Aug 24 17:24:48.780708 np0000042698 memory_tracker.sh[51741]:      49472    0.3           27672          1   00:00:00       12 futex_wait_queue          /opt/stack/bin/etcd --name np0000042698 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000042698=http://192.168.1.121:2380 --initial-advertise-peer-urls http://192.168.1.121:2380 --advertise-client-urls http://192.168.1.121:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://192.168.1.121:2379 --log-level=debug
Aug 24 17:24:48.780708 np0000042698 memory_tracker.sh[51741]:        382    0.3           27296          1   00:00:00        7 futex_wait_queue          /sbin/multipathd -d -s
Aug 24 17:24:48.780708 np0000042698 memory_tracker.sh[51741]:      43627    0.3           26624          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Aug 24 17:24:48.780708 np0000042698 memory_tracker.sh[51741]:       2411    0.3           26480       2410   00:00:00        2 do_wait                   /usr/bin/python3
Aug 24 17:24:48.780708 np0000042698 memory_tracker.sh[51741]:      16622    0.2           21612          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-journald
Aug 24 17:24:48.780708 np0000042698 memory_tracker.sh[51741]:       2189    0.2           20932          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Aug 24 17:24:48.780708 np0000042698 memory_tracker.sh[51741]:       1303    0.2           20548          1   00:01:12        2 inet_csk_accept           /usr/bin/python3
Aug 24 17:24:48.780708 np0000042698 memory_tracker.sh[51741]:      50721    0.2           19500          1   00:00:00        1 ep_poll                   keystoneuWSGI master
Aug 24 17:24:48.780708 np0000042698 memory_tracker.sh[51741]:      43663    0.1           15516          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Aug 24 17:24:48.780708 np0000042698 memory_tracker.sh[51741]:      37200    0.1           15428          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Aug 24 17:24:48.780708 np0000042698 memory_tracker.sh[51741]:      51045    0.1           15028      51041   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Aug 24 17:24:48.780708 np0000042698 memory_tracker.sh[51741]:      39280    0.1           14180          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Aug 24 17:24:48.780708 np0000042698 memory_tracker.sh[51741]:          1    0.1           14008          0   00:00:10        1 ep_poll                   /sbin/init nofb
Aug 24 17:24:48.780708 np0000042698 memory_tracker.sh[51741]:      11000    0.1           13348          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Aug 24 17:24:48.780943 np0000042698 memory_tracker.sh[51741]:        483    0.1           13000          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Aug 24 17:24:48.780943 np0000042698 memory_tracker.sh[51741]:      51124    0.1           12560          1   00:00:00       10 ep_poll                   /usr/bin/memcached -m 64 -p 11211 -u memcache -l 127.0.0.1 -l ::1 -P /var/run/memcached/memcached.pid
Aug 24 17:24:48.780943 np0000042698 memory_tracker.sh[51741]:      51046    0.1           12428      51041   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Aug 24 17:24:48.780943 np0000042698 memory_tracker.sh[51741]:       4656    0.1           12384       2414   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2026-08-24-172034
Aug 24 17:24:48.780943 np0000042698 memory_tracker.sh[51741]:       4661    0.1           12304       2414   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2026-08-24-172034.summary.2026-08-24-172034
Aug 24 17:24:48.780943 np0000042698 memory_tracker.sh[51741]:      51324    0.1           11664      51307   00:00:00        1 unix_stream_data_wait     python3 /opt/stack/devstack/files/openstack-cli-server/openstack --os-cloud devstack-system-admin role assignment list --role admin --user d396798c43814fa1a3e69994b78a38cb --domain default -c Role -f value
Aug 24 17:24:48.780943 np0000042698 memory_tracker.sh[51741]:      51415    0.1           11660      51387   00:00:00        1 unix_stream_data_wait     python3 /opt/stack/devstack/files/openstack-cli-server/openstack --os-cloud devstack-system-admin project create service --domain=Default --or-show -f value -c id
Aug 24 17:24:48.780943 np0000042698 memory_tracker.sh[51741]:      51603    0.1           11656      51575   00:00:00        1 unix_wait_for_peer        python3 /opt/stack/devstack/files/openstack-cli-server/openstack --os-cloud devstack-system-admin role create ResellerAdmin --or-show -f value -c id
