2 :: /home/zuul/logs/screen-c-api.txt:Aug  np0000042630 devstack@c-api.service : /opt/stack/cinder/cinder/__init__.py:21: EventletDeprecationWarning:
2 :: /home/zuul/logs/screen-c-api.txt:Aug  np0000042630 devstack@c-api.service : Eventlet is deprecated. It is currently being maintained in bugfix mode, and
2 :: /home/zuul/logs/screen-c-api.txt:Aug  np0000042630 devstack@c-api.service : /opt/stack/data/venv/lib/python3.12/site-packages/webob/compat.py:5: DeprecationWarning: 'cgi' is deprecated and slated for removal in Python 3.13
2 :: /home/zuul/logs/screen-c-api.txt:Aug  np0000042630 devstack@c-api.service : /opt/stack/data/venv/lib/python3.12/site-packages/oslo_utils/eventletutils.py:34: DeprecationWarning: eventletutils module is deprecated and will be removed.
2 :: /home/zuul/logs/screen-c-api.txt:Aug  np0000042630 devstack@c-api.service : /opt/stack/data/venv/lib/python3.12/site-packages/oslo_service/eventlet_backdoor.py:36: DeprecationWarning: The 'oslo_service.eventlet_backdoor' module usage is deprecated and will be removed in version '2026.2': The 'eventlet_backdoor' module is deprecated and will be removed in version 2026.2. This module is not being replaced. Please migrate away from using it and remove any dependencies on this module.
2 :: /home/zuul/logs/screen-c-api.txt:Aug  np0000042630 devstack@c-api.service : /opt/stack/data/venv/lib/python3.12/site-packages/oslo_service/sslutils.py:24: DeprecationWarning: The 'oslo_service.sslutils' module usage is deprecated and will be removed in version '2026.2': The 'oslo_service.sslutils' module is deprecated and will be removed in version 2026.2.
2 :: /home/zuul/logs/screen-c-api.txt:Aug  np0000042630 devstack@c-api.service : /opt/stack/data/venv/lib/python3.12/site-packages/oslo_policy/policy.py:1630: DeprecationWarning: volume_extension:quotas:show deprecated without deprecated_reason or deprecated_since. This will be an error in a future release
2 :: /home/zuul/logs/screen-c-api.txt:Aug  np0000042630 devstack@c-api.service : /opt/stack/data/venv/lib/python3.12/site-packages/eventlet/__init__.py:83: DeprecationWarning: Using fork() is a bad idea, and there is no guarantee eventlet will work. See https://eventlet.readthedocs.io/en/latest/fork.html for more details.
2 :: /home/zuul/logs/screen-c-api.txt:Aug  np0000042630 devstack@c-api.service  Deprecated: Option "api_paste_config" from group "DEFAULT" is deprecated for removal (The 'api_paste_config' option is deprecated and will be removed in a future release.).  Its value may be silently ignored in the future.
2 :: /home/zuul/logs/screen-c-api.txt:Aug  np0000042630 devstack@c-api.service : /opt/stack/cinder/cinder/api/validation/validators.py:126: DeprecationWarning: FormatChecker.cls_checks is deprecated. Call FormatChecker.checks on a specific FormatChecker instance instead.
165 :: /home/zuul/logs/screen-c-api.txt:Aug  np0000042630 devstack@c-api.service  Deprecation Warning : cinder.keymgr.conf_key_mgr.ConfKeyManager is not a stevedore based driver, trying to load it as a class: stevedore.exception.NoMatches: No 'castellan.drivers' driver found, looking for 'cinder.keymgr.conf_key_mgr.ConfKeyManager'
2 :: /home/zuul/logs/screen-c-api.txt:Aug  np0000042630 devstack@c-api.service  Deprecated: The Host API is deprecated and will be be removed in a future version.
3911 :: /home/zuul/logs/screen-c-api.txt:Aug  np0000042630 devstack@c-api.service : /opt/stack/data/venv/lib/python3.12/site-packages/oslo_context/context.py:102: DeprecationWarning: Policy enforcement is depending on the value of is_admin. This key is deprecated. Please update your policy file to use the standard policy values.
2 :: /home/zuul/logs/screen-c-api.txt:Aug  np0000042630 devstack@c-api.service  Deprecated: Default quota for resource: volumes_puredriver-1 is set by the default quota flag: quota_volumes_puredriver-1, it is now deprecated. Please use the default quota class for default quota.
2 :: /home/zuul/logs/screen-c-api.txt:Aug  np0000042630 devstack@c-api.service  Deprecated: Default quota for resource: gigabytes_puredriver-1 is set by the default quota flag: quota_gigabytes_puredriver-1, it is now deprecated. Please use the default quota class for default quota.
1 :: /home/zuul/logs/screen-c-api.txt:Aug  np0000042630 devstack@c-api.service  Deprecated: Default quota for resource: volumes_tempest-GroupsTest-volume-type-746620972 is set by the default quota flag: quota_volumes_tempest-GroupsTest-volume-type-746620972, it is now deprecated. Please use the default quota class for default quota.
1 :: /home/zuul/logs/screen-c-api.txt:Aug  np0000042630 devstack@c-api.service  Deprecated: Default quota for resource: gigabytes_tempest-GroupsTest-volume-type-746620972 is set by the default quota flag: quota_gigabytes_tempest-GroupsTest-volume-type-746620972, it is now deprecated. Please use the default quota class for default quota.
2 :: /home/zuul/logs/screen-c-api.txt:Aug  np0000042630 devstack@c-api.service  Deprecated: Default quota for resource: volumes_tempest-GroupsTest-volume-type-742821097 is set by the default quota flag: quota_volumes_tempest-GroupsTest-volume-type-742821097, it is now deprecated. Please use the default quota class for default quota.
2 :: /home/zuul/logs/screen-c-api.txt:Aug  np0000042630 devstack@c-api.service  Deprecated: Default quota for resource: gigabytes_tempest-GroupsTest-volume-type-742821097 is set by the default quota flag: quota_gigabytes_tempest-GroupsTest-volume-type-742821097, it is now deprecated. Please use the default quota class for default quota.
1 :: /home/zuul/logs/screen-c-api.txt:Aug  np0000042630 devstack@c-api.service  Deprecated: Default quota for resource: volumes_tempest-UserMessagesTest-volume-type-945861303 is set by the default quota flag: quota_volumes_tempest-UserMessagesTest-volume-type-945861303, it is now deprecated. Please use the default quota class for default quota.
1 :: /home/zuul/logs/screen-c-api.txt:Aug  np0000042630 devstack@c-api.service  Deprecated: Default quota for resource: gigabytes_tempest-UserMessagesTest-volume-type-945861303 is set by the default quota flag: quota_gigabytes_tempest-UserMessagesTest-volume-type-945861303, it is now deprecated. Please use the default quota class for default quota.
1 :: /home/zuul/logs/screen-c-api.txt:Aug  np0000042630 devstack@c-api.service  Deprecated: Default quota for resource: volumes_tempest-UserMessagesTest-volume-type-366685139 is set by the default quota flag: quota_volumes_tempest-UserMessagesTest-volume-type-366685139, it is now deprecated. Please use the default quota class for default quota.
1 :: /home/zuul/logs/screen-c-api.txt:Aug  np0000042630 devstack@c-api.service  Deprecated: Default quota for resource: gigabytes_tempest-UserMessagesTest-volume-type-366685139 is set by the default quota flag: quota_gigabytes_tempest-UserMessagesTest-volume-type-366685139, it is now deprecated. Please use the default quota class for default quota.
2 :: /home/zuul/logs/screen-c-api.txt:Aug  np0000042630 devstack@c-api.service  Deprecated: Default quota for resource: snapshots_puredriver-1 is set by the default quota flag: quota_snapshots_puredriver-1, it is now deprecated. Please use the default quota class for default quota.
2 :: /home/zuul/logs/screen-c-api.txt:Aug  np0000042630 devstack@c-api.service  Deprecated: Default quota for resource: volumes___DEFAULT__ is set by the default quota flag: quota_volumes___DEFAULT__, it is now deprecated. Please use the default quota class for default quota.
2 :: /home/zuul/logs/screen-c-api.txt:Aug  np0000042630 devstack@c-api.service  Deprecated: Default quota for resource: gigabytes___DEFAULT__ is set by the default quota flag: quota_gigabytes___DEFAULT__, it is now deprecated. Please use the default quota class for default quota.
