Jul 18 04:14:50.907442 np0000039802 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Jul 18 04:14:50.915230 np0000039802 memory_tracker.sh[48577]: [[[
Jul 18 04:14:50.915916 np0000039802 memory_tracker.sh[48594]: Sat Jul 18 04:14:50 UTC 2026
Jul 18 04:14:50.916021 np0000039802 memory_tracker.sh[48577]: ---
Jul 18 04:14:50.969789 np0000039802 memory_tracker.sh[48598]: [iscsid (pid:39499)]=14172KB; [multipathd (pid:377)]=288932KB; [ovs-vswitchd (pid:34988)]=901124KB
Jul 18 04:14:50.975101 np0000039802 memory_tracker.sh[48577]: ]]]
Jul 18 04:15:10.980494 np0000039802 memory_tracker.sh[48577]: [[[
Jul 18 04:15:10.981300 np0000039802 memory_tracker.sh[52142]: Sat Jul 18 04:15:10 UTC 2026
Jul 18 04:15:10.981454 np0000039802 memory_tracker.sh[48577]: ---
Jul 18 04:15:10.981454 np0000039802 memory_tracker.sh[48577]: memory_tracker low_point: 6260768
Jul 18 04:15:10.981454 np0000039802 memory_tracker.sh[48577]: ---
Jul 18 04:15:10.982264 np0000039802 memory_tracker.sh[52143]: MemTotal:        8129352 kB
Jul 18 04:15:10.982264 np0000039802 memory_tracker.sh[52143]: MemFree:          246140 kB
Jul 18 04:15:10.982264 np0000039802 memory_tracker.sh[52143]: MemAvailable:    6260768 kB
Jul 18 04:15:10.982264 np0000039802 memory_tracker.sh[52143]: Buffers:          182112 kB
Jul 18 04:15:10.982264 np0000039802 memory_tracker.sh[52143]: Cached:          5774476 kB
Jul 18 04:15:10.982264 np0000039802 memory_tracker.sh[52143]: SwapCached:            0 kB
Jul 18 04:15:10.982264 np0000039802 memory_tracker.sh[52143]: Active:          1274028 kB
Jul 18 04:15:10.982264 np0000039802 memory_tracker.sh[52143]: Inactive:        5620736 kB
Jul 18 04:15:10.982264 np0000039802 memory_tracker.sh[52143]: Active(anon):     986884 kB
Jul 18 04:15:10.982264 np0000039802 memory_tracker.sh[52143]: Inactive(anon):   126020 kB
Jul 18 04:15:10.982264 np0000039802 memory_tracker.sh[52143]: Active(file):     287144 kB
Jul 18 04:15:10.982264 np0000039802 memory_tracker.sh[52143]: Inactive(file):  5494716 kB
Jul 18 04:15:10.982264 np0000039802 memory_tracker.sh[52143]: Unevictable:      143592 kB
Jul 18 04:15:10.982264 np0000039802 memory_tracker.sh[52143]: Mlocked:          142392 kB
Jul 18 04:15:10.982264 np0000039802 memory_tracker.sh[52143]: SwapTotal:       8388604 kB
Jul 18 04:15:10.982264 np0000039802 memory_tracker.sh[52143]: SwapFree:        8388336 kB
Jul 18 04:15:10.982264 np0000039802 memory_tracker.sh[52143]: Zswap:               308 kB
Jul 18 04:15:10.982264 np0000039802 memory_tracker.sh[52143]: Zswapped:             68 kB
Jul 18 04:15:10.982264 np0000039802 memory_tracker.sh[52143]: Dirty:            102420 kB
Jul 18 04:15:10.982264 np0000039802 memory_tracker.sh[52143]: Writeback:             0 kB
Jul 18 04:15:10.982264 np0000039802 memory_tracker.sh[52143]: AnonPages:       1081160 kB
Jul 18 04:15:10.982264 np0000039802 memory_tracker.sh[52143]: Mapped:           185116 kB
Jul 18 04:15:10.982264 np0000039802 memory_tracker.sh[52143]: Shmem:            154860 kB
Jul 18 04:15:10.982264 np0000039802 memory_tracker.sh[52143]: KReclaimable:     542320 kB
Jul 18 04:15:10.982264 np0000039802 memory_tracker.sh[52143]: Slab:             661312 kB
Jul 18 04:15:10.982264 np0000039802 memory_tracker.sh[52143]: SReclaimable:     542320 kB
Jul 18 04:15:10.982264 np0000039802 memory_tracker.sh[52143]: SUnreclaim:       118992 kB
Jul 18 04:15:10.982264 np0000039802 memory_tracker.sh[52143]: KernelStack:        8556 kB
Jul 18 04:15:10.982264 np0000039802 memory_tracker.sh[52143]: PageTables:        10328 kB
Jul 18 04:15:10.982264 np0000039802 memory_tracker.sh[52143]: SecPageTables:         0 kB
Jul 18 04:15:10.982264 np0000039802 memory_tracker.sh[52143]: NFS_Unstable:          0 kB
Jul 18 04:15:10.982264 np0000039802 memory_tracker.sh[52143]: Bounce:                0 kB
Jul 18 04:15:10.982264 np0000039802 memory_tracker.sh[52143]: WritebackTmp:          0 kB
Jul 18 04:15:10.982264 np0000039802 memory_tracker.sh[52143]: CommitLimit:    12453280 kB
Jul 18 04:15:10.982264 np0000039802 memory_tracker.sh[52143]: Committed_AS:    2912816 kB
Jul 18 04:15:10.982264 np0000039802 memory_tracker.sh[52143]: VmallocTotal:   13743895347199 kB
Jul 18 04:15:10.982264 np0000039802 memory_tracker.sh[52143]: VmallocUsed:       26860 kB
Jul 18 04:15:10.982264 np0000039802 memory_tracker.sh[52143]: VmallocChunk:          0 kB
Jul 18 04:15:10.982264 np0000039802 memory_tracker.sh[52143]: Percpu:             4768 kB
Jul 18 04:15:10.982264 np0000039802 memory_tracker.sh[52143]: HardwareCorrupted:     0 kB
Jul 18 04:15:10.982264 np0000039802 memory_tracker.sh[52143]: AnonHugePages:         0 kB
Jul 18 04:15:10.982264 np0000039802 memory_tracker.sh[52143]: ShmemHugePages:        0 kB
Jul 18 04:15:10.982264 np0000039802 memory_tracker.sh[52143]: ShmemPmdMapped:        0 kB
Jul 18 04:15:10.982264 np0000039802 memory_tracker.sh[52143]: FileHugePages:         0 kB
Jul 18 04:15:10.982264 np0000039802 memory_tracker.sh[52143]: FilePmdMapped:         0 kB
Jul 18 04:15:10.982264 np0000039802 memory_tracker.sh[52143]: Unaccepted:            0 kB
Jul 18 04:15:10.982264 np0000039802 memory_tracker.sh[52143]: HugePages_Total:       0
Jul 18 04:15:10.982264 np0000039802 memory_tracker.sh[52143]: HugePages_Free:        0
Jul 18 04:15:10.982264 np0000039802 memory_tracker.sh[52143]: HugePages_Rsvd:        0
Jul 18 04:15:10.982264 np0000039802 memory_tracker.sh[52143]: HugePages_Surp:        0
Jul 18 04:15:10.982264 np0000039802 memory_tracker.sh[52143]: Hugepagesize:       2048 kB
Jul 18 04:15:10.982264 np0000039802 memory_tracker.sh[52143]: Hugetlb:               0 kB
Jul 18 04:15:10.982264 np0000039802 memory_tracker.sh[52143]: DirectMap4k:      261996 kB
Jul 18 04:15:10.982264 np0000039802 memory_tracker.sh[52143]: DirectMap2M:     8126464 kB
Jul 18 04:15:10.982264 np0000039802 memory_tracker.sh[52143]: DirectMap1G:     2097152 kB
Jul 18 04:15:10.983160 np0000039802 memory_tracker.sh[48577]: ---
Jul 18 04:15:10.994070 np0000039802 memory_tracker.sh[52145]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Jul 18 04:15:10.994070 np0000039802 memory_tracker.sh[52145]:      47935    5.1          416020          1   00:00:01       40 do_poll.constprop.0       /usr/sbin/mysqld
Jul 18 04:15:10.994070 np0000039802 memory_tracker.sh[52145]:      50870    1.7          140004      50868   00:00:03        2 ep_poll                   keystoneuWSGI worker 1
Jul 18 04:15:10.994070 np0000039802 memory_tracker.sh[52145]:      50871    1.7          139712      50868   00:00:03        2 rt_mutex_schedule         keystoneuWSGI worker 2
Jul 18 04:15:10.994070 np0000039802 memory_tracker.sh[52145]:      17714    1.6          137164          1   00:00:03       32 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Jul 18 04:15:10.994070 np0000039802 memory_tracker.sh[52145]:      47016    1.4          116964          1   00:00:01        1 -                         /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Jul 18 04:15:10.994070 np0000039802 memory_tracker.sh[52145]:      34988    1.4          116232          1   00:00:00       13 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Jul 18 04:15:10.994070 np0000039802 memory_tracker.sh[52145]:      11048    0.4           40596      11046   00:00:00        8 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Jul 18 04:15:10.994551 np0000039802 memory_tracker.sh[52145]:      49677    0.3           28000          1   00:00:00       12 futex_wait_queue          /opt/stack/bin/etcd --name np0000039802 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000039802=http://192.168.1.125:2380 --initial-advertise-peer-urls http://192.168.1.125:2380 --advertise-client-urls http://192.168.1.125:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://192.168.1.125:2379 --log-level=debug
Jul 18 04:15:10.994551 np0000039802 memory_tracker.sh[52145]:        377    0.3           27296          1   00:00:00        7 futex_wait_queue          /sbin/multipathd -d -s
Jul 18 04:15:10.994551 np0000039802 memory_tracker.sh[52145]:      43846    0.3           26704          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Jul 18 04:15:10.994551 np0000039802 memory_tracker.sh[52145]:       2420    0.3           26440       2419   00:00:00        2 do_wait                   /usr/bin/python3
Jul 18 04:15:10.994551 np0000039802 memory_tracker.sh[52145]:      16674    0.2           21920          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-journald
Jul 18 04:15:10.994551 np0000039802 memory_tracker.sh[52145]:       2201    0.2           20944          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Jul 18 04:15:10.994551 np0000039802 memory_tracker.sh[52145]:       1316    0.2           19780          1   00:01:14        2 inet_csk_accept           /usr/bin/python3
Jul 18 04:15:10.994551 np0000039802 memory_tracker.sh[52145]:      50868    0.2           19472          1   00:00:00        1 ep_poll                   keystoneuWSGI master
Jul 18 04:15:10.994551 np0000039802 memory_tracker.sh[52145]:      51286    0.1           15708      51282   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Jul 18 04:15:10.994551 np0000039802 memory_tracker.sh[52145]:      37363    0.1           15432          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Jul 18 04:15:10.994551 np0000039802 memory_tracker.sh[52145]:      43882    0.1           15432          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Jul 18 04:15:10.994551 np0000039802 memory_tracker.sh[52145]:      39499    0.1           14180          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Jul 18 04:15:10.994551 np0000039802 memory_tracker.sh[52145]:          1    0.1           13976          0   00:00:10        1 ep_poll                   /sbin/init nofb
Jul 18 04:15:10.994551 np0000039802 memory_tracker.sh[52145]:      11046    0.1           13280          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Jul 18 04:15:10.994812 np0000039802 memory_tracker.sh[52145]:        485    0.1           13028          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Jul 18 04:15:10.994812 np0000039802 memory_tracker.sh[52145]:      51287    0.1           12984      51282   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Jul 18 04:15:10.994812 np0000039802 memory_tracker.sh[52145]:      51365    0.1           12596          1   00:00:00       10 ep_poll                   /usr/bin/memcached -m 64 -p 11211 -u memcache -l 127.0.0.1 -l ::1 -P /var/run/memcached/memcached.pid
Jul 18 04:15:10.994812 np0000039802 memory_tracker.sh[52145]:       4665    0.1           12384       2423   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2026-07-18-040503
Jul 18 04:15:10.994812 np0000039802 memory_tracker.sh[52145]:       4670    0.1           12308       2423   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2026-07-18-040503.summary.2026-07-18-040503
Jul 18 04:15:10.994812 np0000039802 memory_tracker.sh[52145]:      51978    0.1           11696      51961   00:00:00        1 unix_stream_data_wait     python3 /opt/stack/devstack/files/openstack-cli-server/openstack --os-cloud devstack-system-admin project create invisible_to_admin --domain=default --or-show -f value -c id
Jul 18 04:15:10.994812 np0000039802 memory_tracker.sh[52145]:       1174    0.1           11364          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd --user
Jul 18 04:15:10.994812 np0000039802 memory_tracker.sh[52145]:       2423    0.1           10844       2421   00:00:02        1 pipe_read                 bash ./stack.sh
Jul 18 04:15:10.994812 np0000039802 memory_tracker.sh[52145]:        440    0.1            9632          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-networkd
