Aug 24 18:34:19.008858 np0000042715 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Aug 24 18:34:19.017429 np0000042715 memory_tracker.sh[44326]: [[[
Aug 24 18:34:19.018326 np0000042715 memory_tracker.sh[44342]: Mon Aug 24 18:34:19 UTC 2026
Aug 24 18:34:19.018412 np0000042715 memory_tracker.sh[44326]: ---
Aug 24 18:34:19.092297 np0000042715 memory_tracker.sh[44346]: [iscsid (pid:35278)]=14172KB; [multipathd (pid:371)]=288932KB; [ovs-vswitchd (pid:30875)]=901132KB
Aug 24 18:34:19.098678 np0000042715 memory_tracker.sh[44326]: ]]]
Aug 24 18:34:39.103295 np0000042715 memory_tracker.sh[44326]: [[[
Aug 24 18:34:39.103655 np0000042715 memory_tracker.sh[48307]: Mon Aug 24 18:34:39 UTC 2026
Aug 24 18:34:39.104128 np0000042715 memory_tracker.sh[44326]: ---
Aug 24 18:34:39.104128 np0000042715 memory_tracker.sh[44326]: memory_tracker low_point: 6244864
Aug 24 18:34:39.104128 np0000042715 memory_tracker.sh[44326]: ---
Aug 24 18:34:39.104786 np0000042715 memory_tracker.sh[48309]: MemTotal:        8129348 kB
Aug 24 18:34:39.104786 np0000042715 memory_tracker.sh[48309]: MemFree:          154064 kB
Aug 24 18:34:39.104786 np0000042715 memory_tracker.sh[48309]: MemAvailable:    6244864 kB
Aug 24 18:34:39.104786 np0000042715 memory_tracker.sh[48309]: Buffers:          176608 kB
Aug 24 18:34:39.104786 np0000042715 memory_tracker.sh[48309]: Cached:          5858040 kB
Aug 24 18:34:39.104786 np0000042715 memory_tracker.sh[48309]: SwapCached:            0 kB
Aug 24 18:34:39.104786 np0000042715 memory_tracker.sh[48309]: Active:          1266864 kB
Aug 24 18:34:39.104786 np0000042715 memory_tracker.sh[48309]: Inactive:        5695224 kB
Aug 24 18:34:39.104786 np0000042715 memory_tracker.sh[48309]: Active(anon):     976136 kB
Aug 24 18:34:39.104786 np0000042715 memory_tracker.sh[48309]: Inactive(anon):   126036 kB
Aug 24 18:34:39.104786 np0000042715 memory_tracker.sh[48309]: Active(file):     290728 kB
Aug 24 18:34:39.104786 np0000042715 memory_tracker.sh[48309]: Inactive(file):  5569188 kB
Aug 24 18:34:39.104786 np0000042715 memory_tracker.sh[48309]: Unevictable:      143600 kB
Aug 24 18:34:39.104786 np0000042715 memory_tracker.sh[48309]: Mlocked:          142400 kB
Aug 24 18:34:39.104786 np0000042715 memory_tracker.sh[48309]: SwapTotal:       8388604 kB
Aug 24 18:34:39.104786 np0000042715 memory_tracker.sh[48309]: SwapFree:        8388336 kB
Aug 24 18:34:39.104786 np0000042715 memory_tracker.sh[48309]: Zswap:               336 kB
Aug 24 18:34:39.104786 np0000042715 memory_tracker.sh[48309]: Zswapped:             68 kB
Aug 24 18:34:39.104786 np0000042715 memory_tracker.sh[48309]: Dirty:              4668 kB
Aug 24 18:34:39.104786 np0000042715 memory_tracker.sh[48309]: Writeback:             0 kB
Aug 24 18:34:39.104786 np0000042715 memory_tracker.sh[48309]: AnonPages:       1071032 kB
Aug 24 18:34:39.104786 np0000042715 memory_tracker.sh[48309]: Mapped:           186680 kB
Aug 24 18:34:39.104786 np0000042715 memory_tracker.sh[48309]: Shmem:            154868 kB
Aug 24 18:34:39.104786 np0000042715 memory_tracker.sh[48309]: KReclaimable:     540436 kB
Aug 24 18:34:39.104786 np0000042715 memory_tracker.sh[48309]: Slab:             658732 kB
Aug 24 18:34:39.104786 np0000042715 memory_tracker.sh[48309]: SReclaimable:     540436 kB
Aug 24 18:34:39.104786 np0000042715 memory_tracker.sh[48309]: SUnreclaim:       118296 kB
Aug 24 18:34:39.104786 np0000042715 memory_tracker.sh[48309]: KernelStack:        8372 kB
Aug 24 18:34:39.104786 np0000042715 memory_tracker.sh[48309]: PageTables:         9612 kB
Aug 24 18:34:39.104786 np0000042715 memory_tracker.sh[48309]: SecPageTables:         0 kB
Aug 24 18:34:39.104786 np0000042715 memory_tracker.sh[48309]: NFS_Unstable:          0 kB
Aug 24 18:34:39.104786 np0000042715 memory_tracker.sh[48309]: Bounce:                0 kB
Aug 24 18:34:39.104786 np0000042715 memory_tracker.sh[48309]: WritebackTmp:          0 kB
Aug 24 18:34:39.104786 np0000042715 memory_tracker.sh[48309]: CommitLimit:    12453276 kB
Aug 24 18:34:39.104786 np0000042715 memory_tracker.sh[48309]: Committed_AS:    2845832 kB
Aug 24 18:34:39.104786 np0000042715 memory_tracker.sh[48309]: VmallocTotal:   13743895347199 kB
Aug 24 18:34:39.104786 np0000042715 memory_tracker.sh[48309]: VmallocUsed:       26828 kB
Aug 24 18:34:39.104786 np0000042715 memory_tracker.sh[48309]: VmallocChunk:          0 kB
Aug 24 18:34:39.104786 np0000042715 memory_tracker.sh[48309]: Percpu:             4896 kB
Aug 24 18:34:39.104786 np0000042715 memory_tracker.sh[48309]: HardwareCorrupted:     0 kB
Aug 24 18:34:39.104786 np0000042715 memory_tracker.sh[48309]: AnonHugePages:         0 kB
Aug 24 18:34:39.104786 np0000042715 memory_tracker.sh[48309]: ShmemHugePages:        0 kB
Aug 24 18:34:39.104786 np0000042715 memory_tracker.sh[48309]: ShmemPmdMapped:        0 kB
Aug 24 18:34:39.104786 np0000042715 memory_tracker.sh[48309]: FileHugePages:         0 kB
Aug 24 18:34:39.104786 np0000042715 memory_tracker.sh[48309]: FilePmdMapped:         0 kB
Aug 24 18:34:39.104786 np0000042715 memory_tracker.sh[48309]: Unaccepted:            0 kB
Aug 24 18:34:39.104786 np0000042715 memory_tracker.sh[48309]: HugePages_Total:       0
Aug 24 18:34:39.104786 np0000042715 memory_tracker.sh[48309]: HugePages_Free:        0
Aug 24 18:34:39.104786 np0000042715 memory_tracker.sh[48309]: HugePages_Rsvd:        0
Aug 24 18:34:39.104786 np0000042715 memory_tracker.sh[48309]: HugePages_Surp:        0
Aug 24 18:34:39.104786 np0000042715 memory_tracker.sh[48309]: Hugepagesize:       2048 kB
Aug 24 18:34:39.104786 np0000042715 memory_tracker.sh[48309]: Hugetlb:               0 kB
Aug 24 18:34:39.104786 np0000042715 memory_tracker.sh[48309]: DirectMap4k:      259948 kB
Aug 24 18:34:39.104786 np0000042715 memory_tracker.sh[48309]: DirectMap2M:     8128512 kB
Aug 24 18:34:39.104786 np0000042715 memory_tracker.sh[48309]: DirectMap1G:     2097152 kB
Aug 24 18:34:39.105609 np0000042715 memory_tracker.sh[44326]: ---
Aug 24 18:34:39.115324 np0000042715 memory_tracker.sh[48312]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Aug 24 18:34:39.115324 np0000042715 memory_tracker.sh[48312]:      43683    5.1          416612          1   00:00:01       40 do_poll.constprop.0       /usr/sbin/mysqld
Aug 24 18:34:39.115324 np0000042715 memory_tracker.sh[48312]:      46714    1.7          138812      46712   00:00:03        2 rt_mutex_schedule         keystoneuWSGI worker 2
Aug 24 18:34:39.115324 np0000042715 memory_tracker.sh[48312]:      46713    1.7          138796      46712   00:00:03        2 ep_poll                   keystoneuWSGI worker 1
Aug 24 18:34:39.115324 np0000042715 memory_tracker.sh[48312]:      17493    1.6          135972          1   00:00:02       32 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Aug 24 18:34:39.115324 np0000042715 memory_tracker.sh[48312]:      42930    1.4          116336          1   00:00:01        1 skb_wait_for_more_packets /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Aug 24 18:34:39.115324 np0000042715 memory_tracker.sh[48312]:      30875    1.4          116240          1   00:00:00       13 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Aug 24 18:34:39.115324 np0000042715 memory_tracker.sh[48312]:      10862    0.5           40676      10860   00:00:00        8 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Aug 24 18:34:39.115721 np0000042715 memory_tracker.sh[48312]:      45474    0.3           28040          1   00:00:00       12 futex_wait_queue          /opt/stack/bin/etcd --name np0000042715 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000042715=http://192.168.1.115:2380 --initial-advertise-peer-urls http://192.168.1.115:2380 --advertise-client-urls http://192.168.1.115:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://192.168.1.115:2379 --log-level=debug
Aug 24 18:34:39.115721 np0000042715 memory_tracker.sh[48312]:        371    0.3           27296          1   00:00:00        7 futex_wait_queue          /sbin/multipathd -d -s
Aug 24 18:34:39.115721 np0000042715 memory_tracker.sh[48312]:      39626    0.3           26708          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Aug 24 18:34:39.115721 np0000042715 memory_tracker.sh[48312]:       2392    0.3           26404       2391   00:00:00        2 do_wait                   /usr/bin/python3
Aug 24 18:34:39.115721 np0000042715 memory_tracker.sh[48312]:      16436    0.2           21592          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-journald
Aug 24 18:34:39.115721 np0000042715 memory_tracker.sh[48312]:       2170    0.2           20852          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Aug 24 18:34:39.115721 np0000042715 memory_tracker.sh[48312]:       1284    0.2           20476          1   00:01:12        2 inet_csk_accept           /usr/bin/python3
Aug 24 18:34:39.115721 np0000042715 memory_tracker.sh[48312]:      46712    0.2           19464          1   00:00:00        1 ep_poll                   keystoneuWSGI master
Aug 24 18:34:39.115721 np0000042715 memory_tracker.sh[48312]:      47044    0.1           16084      47038   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Aug 24 18:34:39.115721 np0000042715 memory_tracker.sh[48312]:      39661    0.1           15560          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Aug 24 18:34:39.115721 np0000042715 memory_tracker.sh[48312]:      33197    0.1           15440          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Aug 24 18:34:39.115721 np0000042715 memory_tracker.sh[48312]:      35278    0.1           14180          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Aug 24 18:34:39.115721 np0000042715 memory_tracker.sh[48312]:          1    0.1           13872          0   00:00:10        1 ep_poll                   /sbin/init nofb
Aug 24 18:34:39.115721 np0000042715 memory_tracker.sh[48312]:      47042    0.1           13576      47038   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Aug 24 18:34:39.115908 np0000042715 memory_tracker.sh[48312]:      10860    0.1           13380          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Aug 24 18:34:39.115908 np0000042715 memory_tracker.sh[48312]:        480    0.1           13032          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Aug 24 18:34:39.115908 np0000042715 memory_tracker.sh[48312]:      47121    0.1           12620          1   00:00:00       10 ep_poll                   /usr/bin/memcached -m 64 -p 11211 -u memcache -l 127.0.0.1 -l ::1 -P /var/run/memcached/memcached.pid
Aug 24 18:34:39.115908 np0000042715 memory_tracker.sh[48312]:       4607    0.1           12384       2395   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2026-08-24-183027
Aug 24 18:34:39.115908 np0000042715 memory_tracker.sh[48312]:       4612    0.1           12340       2395   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2026-08-24-183027.summary.2026-08-24-183027
Aug 24 18:34:39.115908 np0000042715 memory_tracker.sh[48312]:       1143    0.1           11412          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd --user
Aug 24 18:34:39.115908 np0000042715 memory_tracker.sh[48312]:       2395    0.1           11316       2393   00:00:02        1 pipe_read                 bash ./stack.sh
Aug 24 18:34:39.115908 np0000042715 memory_tracker.sh[48312]:        842    0.1            9692          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-networkd
Aug 24 18:34:39.115908 np0000042715 memory_tracker.sh[48312]:      47038    0.1            9584          1   00:00:00        1 do_select                 /usr/sbin/apache2 -k start
Aug 24 18:34:39.115908 np0000042715 memory_tracker.sh[48312]:      42099    0.1            9288       2395   00:00:00        1 do_wait                   bash ./stack.sh
