Sep 01 22:20:28.680626 np0000043533 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Sep 01 22:20:28.689589 np0000043533 memory_tracker.sh[45054]: [[[
Sep 01 22:20:28.690299 np0000043533 memory_tracker.sh[45071]: Tue Sep  1 22:20:28 UTC 2026
Sep 01 22:20:28.690440 np0000043533 memory_tracker.sh[45054]: ---
Sep 01 22:20:28.755806 np0000043533 memory_tracker.sh[45075]: [iscsid (pid:36020)]=14172KB; [multipathd (pid:392)]=288932KB; [ovs-vswitchd (pid:31485)]=901132KB
Sep 01 22:20:28.762297 np0000043533 memory_tracker.sh[45054]: ]]]
Sep 01 22:20:48.767320 np0000043533 memory_tracker.sh[45054]: [[[
Sep 01 22:20:48.768047 np0000043533 memory_tracker.sh[48444]: Tue Sep  1 22:20:48 UTC 2026
Sep 01 22:20:48.768200 np0000043533 memory_tracker.sh[45054]: ---
Sep 01 22:20:48.768200 np0000043533 memory_tracker.sh[45054]: memory_tracker low_point: 6083608
Sep 01 22:20:48.768200 np0000043533 memory_tracker.sh[45054]: ---
Sep 01 22:20:48.768892 np0000043533 memory_tracker.sh[48445]: MemTotal:        8129348 kB
Sep 01 22:20:48.768892 np0000043533 memory_tracker.sh[48445]: MemFree:          166992 kB
Sep 01 22:20:48.768892 np0000043533 memory_tracker.sh[48445]: MemAvailable:    6083608 kB
Sep 01 22:20:48.768892 np0000043533 memory_tracker.sh[48445]: Buffers:          171852 kB
Sep 01 22:20:48.768892 np0000043533 memory_tracker.sh[48445]: Cached:          5704624 kB
Sep 01 22:20:48.768892 np0000043533 memory_tracker.sh[48445]: SwapCached:            0 kB
Sep 01 22:20:48.768892 np0000043533 memory_tracker.sh[48445]: Active:          1410404 kB
Sep 01 22:20:48.768892 np0000043533 memory_tracker.sh[48445]: Inactive:        5414704 kB
Sep 01 22:20:48.768892 np0000043533 memory_tracker.sh[48445]: Active(anon):    1122500 kB
Sep 01 22:20:48.768892 np0000043533 memory_tracker.sh[48445]: Inactive(anon):      868 kB
Sep 01 22:20:48.768892 np0000043533 memory_tracker.sh[48445]: Active(file):     287904 kB
Sep 01 22:20:48.768892 np0000043533 memory_tracker.sh[48445]: Inactive(file):  5413836 kB
Sep 01 22:20:48.768892 np0000043533 memory_tracker.sh[48445]: Unevictable:      143600 kB
Sep 01 22:20:48.768892 np0000043533 memory_tracker.sh[48445]: Mlocked:          142400 kB
Sep 01 22:20:48.768892 np0000043533 memory_tracker.sh[48445]: SwapTotal:       8388604 kB
Sep 01 22:20:48.768892 np0000043533 memory_tracker.sh[48445]: SwapFree:        8388080 kB
Sep 01 22:20:48.768892 np0000043533 memory_tracker.sh[48445]: Zswap:               280 kB
Sep 01 22:20:48.768892 np0000043533 memory_tracker.sh[48445]: Zswapped:             68 kB
Sep 01 22:20:48.768892 np0000043533 memory_tracker.sh[48445]: Dirty:            164016 kB
Sep 01 22:20:48.768892 np0000043533 memory_tracker.sh[48445]: Writeback:             0 kB
Sep 01 22:20:48.768892 np0000043533 memory_tracker.sh[48445]: AnonPages:       1092392 kB
Sep 01 22:20:48.768892 np0000043533 memory_tracker.sh[48445]: Mapped:           184816 kB
Sep 01 22:20:48.768892 np0000043533 memory_tracker.sh[48445]: Shmem:            154864 kB
Sep 01 22:20:48.768892 np0000043533 memory_tracker.sh[48445]: KReclaimable:     524592 kB
Sep 01 22:20:48.768892 np0000043533 memory_tracker.sh[48445]: Slab:             651132 kB
Sep 01 22:20:48.768892 np0000043533 memory_tracker.sh[48445]: SReclaimable:     524592 kB
Sep 01 22:20:48.768892 np0000043533 memory_tracker.sh[48445]: SUnreclaim:       126540 kB
Sep 01 22:20:48.768892 np0000043533 memory_tracker.sh[48445]: KernelStack:        8624 kB
Sep 01 22:20:48.768892 np0000043533 memory_tracker.sh[48445]: PageTables:        10700 kB
Sep 01 22:20:48.768892 np0000043533 memory_tracker.sh[48445]: SecPageTables:         0 kB
Sep 01 22:20:48.768892 np0000043533 memory_tracker.sh[48445]: NFS_Unstable:          0 kB
Sep 01 22:20:48.768892 np0000043533 memory_tracker.sh[48445]: Bounce:                0 kB
Sep 01 22:20:48.768892 np0000043533 memory_tracker.sh[48445]: WritebackTmp:          0 kB
Sep 01 22:20:48.768892 np0000043533 memory_tracker.sh[48445]: CommitLimit:    12453276 kB
Sep 01 22:20:48.768892 np0000043533 memory_tracker.sh[48445]: Committed_AS:    2953348 kB
Sep 01 22:20:48.768892 np0000043533 memory_tracker.sh[48445]: VmallocTotal:   13743895347199 kB
Sep 01 22:20:48.768892 np0000043533 memory_tracker.sh[48445]: VmallocUsed:       31020 kB
Sep 01 22:20:48.768892 np0000043533 memory_tracker.sh[48445]: VmallocChunk:          0 kB
Sep 01 22:20:48.768892 np0000043533 memory_tracker.sh[48445]: Percpu:             4960 kB
Sep 01 22:20:48.768892 np0000043533 memory_tracker.sh[48445]: HardwareCorrupted:     0 kB
Sep 01 22:20:48.768892 np0000043533 memory_tracker.sh[48445]: AnonHugePages:         0 kB
Sep 01 22:20:48.768892 np0000043533 memory_tracker.sh[48445]: ShmemHugePages:        0 kB
Sep 01 22:20:48.768892 np0000043533 memory_tracker.sh[48445]: ShmemPmdMapped:        0 kB
Sep 01 22:20:48.768892 np0000043533 memory_tracker.sh[48445]: FileHugePages:         0 kB
Sep 01 22:20:48.768892 np0000043533 memory_tracker.sh[48445]: FilePmdMapped:         0 kB
Sep 01 22:20:48.768892 np0000043533 memory_tracker.sh[48445]: Unaccepted:            0 kB
Sep 01 22:20:48.768892 np0000043533 memory_tracker.sh[48445]: HugePages_Total:       0
Sep 01 22:20:48.768892 np0000043533 memory_tracker.sh[48445]: HugePages_Free:        0
Sep 01 22:20:48.768892 np0000043533 memory_tracker.sh[48445]: HugePages_Rsvd:        0
Sep 01 22:20:48.768892 np0000043533 memory_tracker.sh[48445]: HugePages_Surp:        0
Sep 01 22:20:48.768892 np0000043533 memory_tracker.sh[48445]: Hugepagesize:       2048 kB
Sep 01 22:20:48.768892 np0000043533 memory_tracker.sh[48445]: Hugetlb:               0 kB
Sep 01 22:20:48.768892 np0000043533 memory_tracker.sh[48445]: DirectMap4k:      292716 kB
Sep 01 22:20:48.768892 np0000043533 memory_tracker.sh[48445]: DirectMap2M:     8095744 kB
Sep 01 22:20:48.768892 np0000043533 memory_tracker.sh[48445]: DirectMap1G:     2097152 kB
Sep 01 22:20:48.770705 np0000043533 memory_tracker.sh[45054]: ---
Sep 01 22:20:48.780269 np0000043533 memory_tracker.sh[48447]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Sep 01 22:20:48.780269 np0000043533 memory_tracker.sh[48447]:      44412    5.1          416332          1   00:00:01       40 do_poll.constprop.0       /usr/sbin/mysqld
Sep 01 22:20:48.780269 np0000043533 memory_tracker.sh[48447]:      47430    1.6          136392      47428   00:00:03        2 ep_poll                   keystoneuWSGI worker 2
Sep 01 22:20:48.780269 np0000043533 memory_tracker.sh[48447]:      47429    1.6          136112      47428   00:00:03        2 -                         keystoneuWSGI worker 1
Sep 01 22:20:48.780269 np0000043533 memory_tracker.sh[48447]:      18074    1.6          134160          1   00:00:03       32 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Sep 01 22:20:48.780269 np0000043533 memory_tracker.sh[48447]:      31485    1.4          116240          1   00:00:00       13 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Sep 01 22:20:48.780269 np0000043533 memory_tracker.sh[48447]:      43660    1.4          116000          1   00:00:01        1 wait_woken                /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Sep 01 22:20:48.780269 np0000043533 memory_tracker.sh[48447]:      11452    0.5           40764      11450   00:00:00        8 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Sep 01 22:20:48.780912 np0000043533 memory_tracker.sh[48447]:      46191    0.3           28000          1   00:00:00       10 futex_wait_queue          /opt/stack/bin/etcd --name np0000043533 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000043533=http://192.168.1.127:2380 --initial-advertise-peer-urls http://192.168.1.127:2380 --advertise-client-urls http://192.168.1.127:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://192.168.1.127:2379 --log-level=debug
Sep 01 22:20:48.780912 np0000043533 memory_tracker.sh[48447]:        392    0.3           27296          1   00:00:00        7 futex_wait_queue          /sbin/multipathd -d -s
Sep 01 22:20:48.780912 np0000043533 memory_tracker.sh[48447]:      40363    0.3           26700          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Sep 01 22:20:48.780912 np0000043533 memory_tracker.sh[48447]:       2666    0.3           25844       2665   00:00:00        2 do_wait                   /usr/bin/python3
Sep 01 22:20:48.780912 np0000043533 memory_tracker.sh[48447]:       2448    0.2           20916          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Sep 01 22:20:48.780912 np0000043533 memory_tracker.sh[48447]:      17028    0.2           20052          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-journald
Sep 01 22:20:48.780912 np0000043533 memory_tracker.sh[48447]:       1559    0.2           19684          1   00:01:15        2 inet_csk_accept           /usr/bin/python3
Sep 01 22:20:48.780912 np0000043533 memory_tracker.sh[48447]:      47428    0.2           19436          1   00:00:00        1 ep_poll                   keystoneuWSGI master
Sep 01 22:20:48.780912 np0000043533 memory_tracker.sh[48447]:      40400    0.1           15480          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Sep 01 22:20:48.780912 np0000043533 memory_tracker.sh[48447]:      33835    0.1           15368          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Sep 01 22:20:48.780912 np0000043533 memory_tracker.sh[48447]:      47754    0.1           14456      47749   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Sep 01 22:20:48.780912 np0000043533 memory_tracker.sh[48447]:      47755    0.1           14268      47749   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Sep 01 22:20:48.780912 np0000043533 memory_tracker.sh[48447]:      36020    0.1           14180          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Sep 01 22:20:48.780912 np0000043533 memory_tracker.sh[48447]:          1    0.1           14032          0   00:00:10        1 ep_poll                   /sbin/init nofb
Sep 01 22:20:48.781216 np0000043533 memory_tracker.sh[48447]:      11450    0.1           13256          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Sep 01 22:20:48.781216 np0000043533 memory_tracker.sh[48447]:        515    0.1           13044          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Sep 01 22:20:48.781216 np0000043533 memory_tracker.sh[48447]:      47832    0.1           12572          1   00:00:00       10 ep_poll                   /usr/bin/memcached -m 64 -p 11211 -u memcache -l 127.0.0.1 -l ::1 -P /var/run/memcached/memcached.pid
Sep 01 22:20:48.781216 np0000043533 memory_tracker.sh[48447]:       4881    0.1           12352       2669   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2026-09-01-221251
Sep 01 22:20:48.781216 np0000043533 memory_tracker.sh[48447]:       4886    0.1           12276       2669   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2026-09-01-221251.summary.2026-09-01-221251
Sep 01 22:20:48.781216 np0000043533 memory_tracker.sh[48447]:      48030    0.1           11696      48013   00:00:00        1 unix_stream_data_wait     python3 /opt/stack/devstack/files/openstack-cli-server/openstack --os-cloud devstack-system-admin role assignment list --role admin --user f494df82ebde49bc9743a29263f8806d --domain default -c Role -f value
Sep 01 22:20:48.781216 np0000043533 memory_tracker.sh[48447]:      48409    0.1           11688      48377   00:00:00        1 unix_wait_for_peer        python3 /opt/stack/devstack/files/openstack-cli-server/openstack --os-cloud devstack-system-admin role create anotherrole --or-show -f value -c id
Sep 01 22:20:48.781216 np0000043533 memory_tracker.sh[48447]:      48440    0.1           11688      48423   00:00:00        1 unix_wait_for_peer        python3 /opt/stack/devstack/files/openstack-cli-server/openstack --os-cloud devstack-system-admin project create invisible_to_admin --domain=default --or-show -f value -c id
