Jul 21 16:42:07.648469 np0000040035 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Jul 21 16:42:07.656384 np0000040035 memory_tracker.sh[44654]: [[[
Jul 21 16:42:07.657160 np0000040035 memory_tracker.sh[44671]: Tue Jul 21 16:42:07 UTC 2026
Jul 21 16:42:07.657296 np0000040035 memory_tracker.sh[44654]: ---
Jul 21 16:42:07.714317 np0000040035 memory_tracker.sh[44675]: [iscsid (pid:35566)]=14172KB; [multipathd (pid:379)]=420096KB; [ovs-vswitchd (pid:31130)]=901116KB
Jul 21 16:42:07.719353 np0000040035 memory_tracker.sh[44654]: ]]]
Jul 21 16:42:27.723631 np0000040035 memory_tracker.sh[44654]: [[[
Jul 21 16:42:27.724237 np0000040035 memory_tracker.sh[48533]: Tue Jul 21 16:42:27 UTC 2026
Jul 21 16:42:27.724414 np0000040035 memory_tracker.sh[44654]: ---
Jul 21 16:42:27.724414 np0000040035 memory_tracker.sh[44654]: memory_tracker low_point: 6251388
Jul 21 16:42:27.724414 np0000040035 memory_tracker.sh[44654]: ---
Jul 21 16:42:27.725000 np0000040035 memory_tracker.sh[48534]: MemTotal:        8129360 kB
Jul 21 16:42:27.725000 np0000040035 memory_tracker.sh[48534]: MemFree:          146072 kB
Jul 21 16:42:27.725000 np0000040035 memory_tracker.sh[48534]: MemAvailable:    6251388 kB
Jul 21 16:42:27.725000 np0000040035 memory_tracker.sh[48534]: Buffers:          195768 kB
Jul 21 16:42:27.725000 np0000040035 memory_tracker.sh[48534]: Cached:          5856156 kB
Jul 21 16:42:27.725000 np0000040035 memory_tracker.sh[48534]: SwapCached:            0 kB
Jul 21 16:42:27.725000 np0000040035 memory_tracker.sh[48534]: Active:          1297016 kB
Jul 21 16:42:27.725000 np0000040035 memory_tracker.sh[48534]: Inactive:        5686652 kB
Jul 21 16:42:27.725000 np0000040035 memory_tracker.sh[48534]: Active(anon):     980516 kB
Jul 21 16:42:27.725000 np0000040035 memory_tracker.sh[48534]: Inactive(anon):   125996 kB
Jul 21 16:42:27.725000 np0000040035 memory_tracker.sh[48534]: Active(file):     316500 kB
Jul 21 16:42:27.725000 np0000040035 memory_tracker.sh[48534]: Inactive(file):  5560656 kB
Jul 21 16:42:27.725000 np0000040035 memory_tracker.sh[48534]: Unevictable:      144108 kB
Jul 21 16:42:27.725000 np0000040035 memory_tracker.sh[48534]: Mlocked:          142908 kB
Jul 21 16:42:27.725000 np0000040035 memory_tracker.sh[48534]: SwapTotal:       8388604 kB
Jul 21 16:42:27.725000 np0000040035 memory_tracker.sh[48534]: SwapFree:        8388080 kB
Jul 21 16:42:27.725000 np0000040035 memory_tracker.sh[48534]: Zswap:               336 kB
Jul 21 16:42:27.725000 np0000040035 memory_tracker.sh[48534]: Zswapped:             68 kB
Jul 21 16:42:27.725000 np0000040035 memory_tracker.sh[48534]: Dirty:            156488 kB
Jul 21 16:42:27.725000 np0000040035 memory_tracker.sh[48534]: Writeback:             0 kB
Jul 21 16:42:27.725000 np0000040035 memory_tracker.sh[48534]: AnonPages:       1076176 kB
Jul 21 16:42:27.725000 np0000040035 memory_tracker.sh[48534]: Mapped:           182896 kB
Jul 21 16:42:27.725000 np0000040035 memory_tracker.sh[48534]: Shmem:            154880 kB
Jul 21 16:42:27.725000 np0000040035 memory_tracker.sh[48534]: KReclaimable:     537712 kB
Jul 21 16:42:27.725000 np0000040035 memory_tracker.sh[48534]: Slab:             660768 kB
Jul 21 16:42:27.725000 np0000040035 memory_tracker.sh[48534]: SReclaimable:     537712 kB
Jul 21 16:42:27.725000 np0000040035 memory_tracker.sh[48534]: SUnreclaim:       123056 kB
Jul 21 16:42:27.725000 np0000040035 memory_tracker.sh[48534]: KernelStack:        8576 kB
Jul 21 16:42:27.725000 np0000040035 memory_tracker.sh[48534]: PageTables:         9836 kB
Jul 21 16:42:27.725000 np0000040035 memory_tracker.sh[48534]: SecPageTables:         0 kB
Jul 21 16:42:27.725000 np0000040035 memory_tracker.sh[48534]: NFS_Unstable:          0 kB
Jul 21 16:42:27.725000 np0000040035 memory_tracker.sh[48534]: Bounce:                0 kB
Jul 21 16:42:27.725000 np0000040035 memory_tracker.sh[48534]: WritebackTmp:          0 kB
Jul 21 16:42:27.725000 np0000040035 memory_tracker.sh[48534]: CommitLimit:    12453284 kB
Jul 21 16:42:27.725000 np0000040035 memory_tracker.sh[48534]: Committed_AS:    2864916 kB
Jul 21 16:42:27.725000 np0000040035 memory_tracker.sh[48534]: VmallocTotal:   13743895347199 kB
Jul 21 16:42:27.725000 np0000040035 memory_tracker.sh[48534]: VmallocUsed:       33516 kB
Jul 21 16:42:27.725000 np0000040035 memory_tracker.sh[48534]: VmallocChunk:          0 kB
Jul 21 16:42:27.725000 np0000040035 memory_tracker.sh[48534]: Percpu:             4960 kB
Jul 21 16:42:27.725000 np0000040035 memory_tracker.sh[48534]: HardwareCorrupted:     0 kB
Jul 21 16:42:27.725000 np0000040035 memory_tracker.sh[48534]: AnonHugePages:         0 kB
Jul 21 16:42:27.725000 np0000040035 memory_tracker.sh[48534]: ShmemHugePages:        0 kB
Jul 21 16:42:27.725000 np0000040035 memory_tracker.sh[48534]: ShmemPmdMapped:        0 kB
Jul 21 16:42:27.725000 np0000040035 memory_tracker.sh[48534]: FileHugePages:         0 kB
Jul 21 16:42:27.725000 np0000040035 memory_tracker.sh[48534]: FilePmdMapped:         0 kB
Jul 21 16:42:27.725000 np0000040035 memory_tracker.sh[48534]: Unaccepted:            0 kB
Jul 21 16:42:27.725000 np0000040035 memory_tracker.sh[48534]: HugePages_Total:       0
Jul 21 16:42:27.725000 np0000040035 memory_tracker.sh[48534]: HugePages_Free:        0
Jul 21 16:42:27.725000 np0000040035 memory_tracker.sh[48534]: HugePages_Rsvd:        0
Jul 21 16:42:27.725000 np0000040035 memory_tracker.sh[48534]: HugePages_Surp:        0
Jul 21 16:42:27.725000 np0000040035 memory_tracker.sh[48534]: Hugepagesize:       2048 kB
Jul 21 16:42:27.725000 np0000040035 memory_tracker.sh[48534]: Hugetlb:               0 kB
Jul 21 16:42:27.725000 np0000040035 memory_tracker.sh[48534]: DirectMap4k:      270188 kB
Jul 21 16:42:27.725000 np0000040035 memory_tracker.sh[48534]: DirectMap2M:     8118272 kB
Jul 21 16:42:27.725000 np0000040035 memory_tracker.sh[48534]: DirectMap1G:     2097152 kB
Jul 21 16:42:27.725851 np0000040035 memory_tracker.sh[44654]: ---
Jul 21 16:42:27.736031 np0000040035 memory_tracker.sh[48537]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Jul 21 16:42:27.736031 np0000040035 memory_tracker.sh[48537]:      44012    5.1          416156          1   00:00:01       40 do_poll.constprop.0       /usr/sbin/mysqld
Jul 21 16:42:27.736031 np0000040035 memory_tracker.sh[48537]:      47030    1.7          139940      47029   00:00:03        2 ep_poll                   keystoneuWSGI worker 1
Jul 21 16:42:27.736031 np0000040035 memory_tracker.sh[48537]:      47031    1.7          139872      47029   00:00:03        2 rt_mutex_schedule         keystoneuWSGI worker 2
Jul 21 16:42:27.736031 np0000040035 memory_tracker.sh[48537]:      17711    1.6          137192          1   00:00:03       32 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Jul 21 16:42:27.736031 np0000040035 memory_tracker.sh[48537]:      31130    1.4          116224          1   00:00:00       13 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Jul 21 16:42:27.736031 np0000040035 memory_tracker.sh[48537]:      43216    1.4          116152          1   00:00:01        1 skb_wait_for_more_packets /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Jul 21 16:42:27.736031 np0000040035 memory_tracker.sh[48537]:      11083    0.5           40732      11081   00:00:00        8 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Jul 21 16:42:27.736031 np0000040035 memory_tracker.sh[48537]:        379    0.3           27820          1   00:00:00        7 futex_wait_queue          /sbin/multipathd -d -s
Jul 21 16:42:27.736383 np0000040035 memory_tracker.sh[48537]:      45792    0.3           27608          1   00:00:00       10 futex_wait_queue          /opt/stack/bin/etcd --name np0000040035 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000040035=http://10.241.128.107:2380 --initial-advertise-peer-urls http://10.241.128.107:2380 --advertise-client-urls http://10.241.128.107:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://10.241.128.107:2379 --log-level=debug
Jul 21 16:42:27.736383 np0000040035 memory_tracker.sh[48537]:      39914    0.3           26772          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Jul 21 16:42:27.736383 np0000040035 memory_tracker.sh[48537]:       2580    0.3           26396       2579   00:00:00        2 do_wait                   /usr/bin/python3
Jul 21 16:42:27.736383 np0000040035 memory_tracker.sh[48537]:       2348    0.2           20792          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Jul 21 16:42:27.736383 np0000040035 memory_tracker.sh[48537]:       1431    0.2           20484          1   00:01:16        2 inet_csk_accept           /usr/bin/python3
Jul 21 16:42:27.736383 np0000040035 memory_tracker.sh[48537]:      16672    0.2           20040          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-journald
Jul 21 16:42:27.736383 np0000040035 memory_tracker.sh[48537]:      47029    0.2           19512          1   00:00:00        1 ep_poll                   keystoneuWSGI master
Jul 21 16:42:27.736383 np0000040035 memory_tracker.sh[48537]:      47356    0.1           15840      47349   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Jul 21 16:42:27.736383 np0000040035 memory_tracker.sh[48537]:      33470    0.1           15508          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Jul 21 16:42:27.736383 np0000040035 memory_tracker.sh[48537]:      39949    0.1           15336          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Jul 21 16:42:27.736383 np0000040035 memory_tracker.sh[48537]:      35566    0.1           14180          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Jul 21 16:42:27.736383 np0000040035 memory_tracker.sh[48537]:          1    0.1           14092          0   00:00:10        1 ep_poll                   /sbin/init nofb
Jul 21 16:42:27.736383 np0000040035 memory_tracker.sh[48537]:      47354    0.1           13592      47349   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Jul 21 16:42:27.736553 np0000040035 memory_tracker.sh[48537]:      11081    0.1           13264          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Jul 21 16:42:27.736553 np0000040035 memory_tracker.sh[48537]:        491    0.1           13036          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Jul 21 16:42:27.736553 np0000040035 memory_tracker.sh[48537]:      47432    0.1           12620          1   00:00:00       10 ep_poll                   /usr/bin/memcached -m 64 -p 11211 -u memcache -l 127.0.0.1 -l ::1 -P /var/run/memcached/memcached.pid
Jul 21 16:42:27.736553 np0000040035 memory_tracker.sh[48537]:       4795    0.1           12392       2583   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2026-07-21-163404
Jul 21 16:42:27.736553 np0000040035 memory_tracker.sh[48537]:       4800    0.1           12308       2583   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2026-07-21-163404.summary.2026-07-21-163404
Jul 21 16:42:27.736553 np0000040035 memory_tracker.sh[48537]:       1275    0.1           11640          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd --user
Jul 21 16:42:27.736553 np0000040035 memory_tracker.sh[48537]:       2583    0.1           11392       2581   00:00:02        1 pipe_read                 bash ./stack.sh
Jul 21 16:42:27.736553 np0000040035 memory_tracker.sh[48537]:      47349    0.1            9720          1   00:00:00        1 do_select                 /usr/sbin/apache2 -k start
Jul 21 16:42:27.736553 np0000040035 memory_tracker.sh[48537]:        440    0.1            9664          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-networkd
Jul 21 16:42:27.736553 np0000040035 memory_tracker.sh[48537]:        543    0.1            9372          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-logind
