Jul 21 16:41:21.901168 np0000040036 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Jul 21 16:41:21.909657 np0000040036 memory_tracker.sh[44341]: [[[
Jul 21 16:41:21.910527 np0000040036 memory_tracker.sh[44357]: Tue Jul 21 16:41:21 UTC 2026
Jul 21 16:41:21.910674 np0000040036 memory_tracker.sh[44341]: ---
Jul 21 16:41:21.973807 np0000040036 memory_tracker.sh[44361]: [iscsid (pid:35301)]=14172KB; [multipathd (pid:376)]=288932KB; [ovs-vswitchd (pid:30912)]=901128KB
Jul 21 16:41:21.979853 np0000040036 memory_tracker.sh[44341]: ]]]
Jul 21 16:41:41.985690 np0000040036 memory_tracker.sh[44341]: [[[
Jul 21 16:41:41.986519 np0000040036 memory_tracker.sh[48012]: Tue Jul 21 16:41:41 UTC 2026
Jul 21 16:41:41.986685 np0000040036 memory_tracker.sh[44341]: ---
Jul 21 16:41:41.986685 np0000040036 memory_tracker.sh[44341]: memory_tracker low_point: 6238488
Jul 21 16:41:41.986685 np0000040036 memory_tracker.sh[44341]: ---
Jul 21 16:41:41.987507 np0000040036 memory_tracker.sh[48013]: MemTotal:        8129352 kB
Jul 21 16:41:41.987507 np0000040036 memory_tracker.sh[48013]: MemFree:          150064 kB
Jul 21 16:41:41.987507 np0000040036 memory_tracker.sh[48013]: MemAvailable:    6238488 kB
Jul 21 16:41:41.987507 np0000040036 memory_tracker.sh[48013]: Buffers:          178696 kB
Jul 21 16:41:41.987507 np0000040036 memory_tracker.sh[48013]: Cached:          5853696 kB
Jul 21 16:41:41.987507 np0000040036 memory_tracker.sh[48013]: SwapCached:            0 kB
Jul 21 16:41:41.987507 np0000040036 memory_tracker.sh[48013]: Active:          1268296 kB
Jul 21 16:41:41.987507 np0000040036 memory_tracker.sh[48013]: Inactive:        5705184 kB
Jul 21 16:41:41.987507 np0000040036 memory_tracker.sh[48013]: Active(anon):     989860 kB
Jul 21 16:41:41.987507 np0000040036 memory_tracker.sh[48013]: Inactive(anon):   125956 kB
Jul 21 16:41:41.987507 np0000040036 memory_tracker.sh[48013]: Active(file):     278436 kB
Jul 21 16:41:41.987507 np0000040036 memory_tracker.sh[48013]: Inactive(file):  5579228 kB
Jul 21 16:41:41.987507 np0000040036 memory_tracker.sh[48013]: Unevictable:      143596 kB
Jul 21 16:41:41.987507 np0000040036 memory_tracker.sh[48013]: Mlocked:          142396 kB
Jul 21 16:41:41.987507 np0000040036 memory_tracker.sh[48013]: SwapTotal:       8388604 kB
Jul 21 16:41:41.987507 np0000040036 memory_tracker.sh[48013]: SwapFree:        8388336 kB
Jul 21 16:41:41.987507 np0000040036 memory_tracker.sh[48013]: Zswap:               332 kB
Jul 21 16:41:41.987507 np0000040036 memory_tracker.sh[48013]: Zswapped:             68 kB
Jul 21 16:41:41.987507 np0000040036 memory_tracker.sh[48013]: Dirty:            155132 kB
Jul 21 16:41:41.987507 np0000040036 memory_tracker.sh[48013]: Writeback:             0 kB
Jul 21 16:41:41.987507 np0000040036 memory_tracker.sh[48013]: AnonPages:       1084836 kB
Jul 21 16:41:41.987507 np0000040036 memory_tracker.sh[48013]: Mapped:           183056 kB
Jul 21 16:41:41.987507 np0000040036 memory_tracker.sh[48013]: Shmem:            154864 kB
Jul 21 16:41:41.987507 np0000040036 memory_tracker.sh[48013]: KReclaimable:     540476 kB
Jul 21 16:41:41.987507 np0000040036 memory_tracker.sh[48013]: Slab:             658384 kB
Jul 21 16:41:41.987507 np0000040036 memory_tracker.sh[48013]: SReclaimable:     540476 kB
Jul 21 16:41:41.987507 np0000040036 memory_tracker.sh[48013]: SUnreclaim:       117908 kB
Jul 21 16:41:41.987507 np0000040036 memory_tracker.sh[48013]: KernelStack:        8460 kB
Jul 21 16:41:41.987507 np0000040036 memory_tracker.sh[48013]: PageTables:        10292 kB
Jul 21 16:41:41.987507 np0000040036 memory_tracker.sh[48013]: SecPageTables:         0 kB
Jul 21 16:41:41.987507 np0000040036 memory_tracker.sh[48013]: NFS_Unstable:          0 kB
Jul 21 16:41:41.987507 np0000040036 memory_tracker.sh[48013]: Bounce:                0 kB
Jul 21 16:41:41.987507 np0000040036 memory_tracker.sh[48013]: WritebackTmp:          0 kB
Jul 21 16:41:41.987507 np0000040036 memory_tracker.sh[48013]: CommitLimit:    12453280 kB
Jul 21 16:41:41.987507 np0000040036 memory_tracker.sh[48013]: Committed_AS:    2876232 kB
Jul 21 16:41:41.987507 np0000040036 memory_tracker.sh[48013]: VmallocTotal:   13743895347199 kB
Jul 21 16:41:41.987507 np0000040036 memory_tracker.sh[48013]: VmallocUsed:       26748 kB
Jul 21 16:41:41.987507 np0000040036 memory_tracker.sh[48013]: VmallocChunk:          0 kB
Jul 21 16:41:41.987507 np0000040036 memory_tracker.sh[48013]: Percpu:             4864 kB
Jul 21 16:41:41.987507 np0000040036 memory_tracker.sh[48013]: HardwareCorrupted:     0 kB
Jul 21 16:41:41.987507 np0000040036 memory_tracker.sh[48013]: AnonHugePages:         0 kB
Jul 21 16:41:41.987507 np0000040036 memory_tracker.sh[48013]: ShmemHugePages:        0 kB
Jul 21 16:41:41.987507 np0000040036 memory_tracker.sh[48013]: ShmemPmdMapped:        0 kB
Jul 21 16:41:41.987507 np0000040036 memory_tracker.sh[48013]: FileHugePages:         0 kB
Jul 21 16:41:41.987507 np0000040036 memory_tracker.sh[48013]: FilePmdMapped:         0 kB
Jul 21 16:41:41.987507 np0000040036 memory_tracker.sh[48013]: Unaccepted:            0 kB
Jul 21 16:41:41.987507 np0000040036 memory_tracker.sh[48013]: HugePages_Total:       0
Jul 21 16:41:41.987507 np0000040036 memory_tracker.sh[48013]: HugePages_Free:        0
Jul 21 16:41:41.987507 np0000040036 memory_tracker.sh[48013]: HugePages_Rsvd:        0
Jul 21 16:41:41.987507 np0000040036 memory_tracker.sh[48013]: HugePages_Surp:        0
Jul 21 16:41:41.987507 np0000040036 memory_tracker.sh[48013]: Hugepagesize:       2048 kB
Jul 21 16:41:41.987507 np0000040036 memory_tracker.sh[48013]: Hugetlb:               0 kB
Jul 21 16:41:41.987507 np0000040036 memory_tracker.sh[48013]: DirectMap4k:      243564 kB
Jul 21 16:41:41.987507 np0000040036 memory_tracker.sh[48013]: DirectMap2M:     7096320 kB
Jul 21 16:41:41.987507 np0000040036 memory_tracker.sh[48013]: DirectMap1G:     3145728 kB
Jul 21 16:41:41.988948 np0000040036 memory_tracker.sh[44341]: ---
Jul 21 16:41:41.999928 np0000040036 memory_tracker.sh[48015]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Jul 21 16:41:41.999928 np0000040036 memory_tracker.sh[48015]:      43699    5.1          416052          1   00:00:01       40 do_poll.constprop.0       /usr/sbin/mysqld
Jul 21 16:41:41.999928 np0000040036 memory_tracker.sh[48015]:      17517    1.7          139812          1   00:00:03       32 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Jul 21 16:41:41.999928 np0000040036 memory_tracker.sh[48015]:      46765    1.7          139608      46763   00:00:03        2 wait_woken                keystoneuWSGI worker 2
Jul 21 16:41:41.999928 np0000040036 memory_tracker.sh[48015]:      46764    1.7          139396      46763   00:00:03        2 ep_poll                   keystoneuWSGI worker 1
Jul 21 16:41:41.999928 np0000040036 memory_tracker.sh[48015]:      42947    1.4          116508          1   00:00:01        1 wait_woken                /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Jul 21 16:41:41.999928 np0000040036 memory_tracker.sh[48015]:      30912    1.4          116236          1   00:00:00       13 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Jul 21 16:41:41.999928 np0000040036 memory_tracker.sh[48015]:      10896    0.5           40736      10894   00:00:00        8 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Jul 21 16:41:42.000390 np0000040036 memory_tracker.sh[48015]:      45443    0.3           28376          1   00:00:00       12 futex_wait_queue          /opt/stack/bin/etcd --name np0000040036 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000040036=http://192.168.1.147:2380 --initial-advertise-peer-urls http://192.168.1.147:2380 --advertise-client-urls http://192.168.1.147:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://192.168.1.147:2379 --log-level=debug
Jul 21 16:41:42.000390 np0000040036 memory_tracker.sh[48015]:        376    0.3           27296          1   00:00:00        7 futex_wait_queue          /sbin/multipathd -d -s
Jul 21 16:41:42.000390 np0000040036 memory_tracker.sh[48015]:      39653    0.3           26952          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Jul 21 16:41:42.000390 np0000040036 memory_tracker.sh[48015]:       2402    0.3           26476       2401   00:00:00        2 do_wait                   /usr/bin/python3
Jul 21 16:41:42.000390 np0000040036 memory_tracker.sh[48015]:       2180    0.2           20932          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Jul 21 16:41:42.000390 np0000040036 memory_tracker.sh[48015]:       1297    0.2           20504          1   00:01:15        2 inet_csk_accept           /usr/bin/python3
Jul 21 16:41:42.000390 np0000040036 memory_tracker.sh[48015]:      16471    0.2           19724          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-journald
Jul 21 16:41:42.000390 np0000040036 memory_tracker.sh[48015]:      46763    0.2           19568          1   00:00:00        1 ep_poll                   keystoneuWSGI master
Jul 21 16:41:42.000390 np0000040036 memory_tracker.sh[48015]:      47089    0.1           15932      47083   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Jul 21 16:41:42.000390 np0000040036 memory_tracker.sh[48015]:      33227    0.1           15388          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Jul 21 16:41:42.000390 np0000040036 memory_tracker.sh[48015]:      39689    0.1           15388          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Jul 21 16:41:42.000390 np0000040036 memory_tracker.sh[48015]:      35301    0.1           14180          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Jul 21 16:41:42.000390 np0000040036 memory_tracker.sh[48015]:          1    0.1           13924          0   00:00:09        1 ep_poll                   /sbin/init nofb
Jul 21 16:41:42.000390 np0000040036 memory_tracker.sh[48015]:      47088    0.1           13740      47083   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Jul 21 16:41:42.000746 np0000040036 memory_tracker.sh[48015]:      10894    0.1           13340          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Jul 21 16:41:42.000746 np0000040036 memory_tracker.sh[48015]:        492    0.1           12956          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Jul 21 16:41:42.000746 np0000040036 memory_tracker.sh[48015]:      47166    0.1           12632          1   00:00:00       10 ep_poll                   /usr/bin/memcached -m 64 -p 11211 -u memcache -l 127.0.0.1 -l ::1 -P /var/run/memcached/memcached.pid
Jul 21 16:41:42.000746 np0000040036 memory_tracker.sh[48015]:       4617    0.1           12380       2405   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2026-07-21-163358
Jul 21 16:41:42.000746 np0000040036 memory_tracker.sh[48015]:       4622    0.1           12308       2405   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2026-07-21-163358.summary.2026-07-21-163358
Jul 21 16:41:42.000746 np0000040036 memory_tracker.sh[48015]:      48008    0.1           11692      47991   00:00:00        1 unix_stream_data_wait     python3 /opt/stack/devstack/files/openstack-cli-server/openstack --os-cloud devstack-system-admin project create demo --domain=default --or-show -f value -c id
Jul 21 16:41:42.000746 np0000040036 memory_tracker.sh[48015]:       1153    0.1           11236          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd --user
Jul 21 16:41:42.000746 np0000040036 memory_tracker.sh[48015]:       2405    0.1           10804       2403   00:00:02        1 pipe_read                 bash ./stack.sh
Jul 21 16:41:42.000746 np0000040036 memory_tracker.sh[48015]:        851    0.1            9660          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-networkd
