Jul 19 15:45:34.360918 np0000039885 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Jul 19 15:45:34.369813 np0000039885 memory_tracker.sh[48341]: [[[
Jul 19 15:45:34.370465 np0000039885 memory_tracker.sh[48355]: Sun Jul 19 15:45:34 UTC 2026
Jul 19 15:45:34.370615 np0000039885 memory_tracker.sh[48341]: ---
Jul 19 15:45:34.465766 np0000039885 memory_tracker.sh[48359]: [iscsid (pid:39301)]=14172KB; [multipathd (pid:375)]=288932KB; [ovs-vswitchd (pid:34910)]=901116KB
Jul 19 15:45:34.473510 np0000039885 memory_tracker.sh[48341]: ]]]
Jul 19 15:45:54.478084 np0000039885 memory_tracker.sh[48341]: [[[
Jul 19 15:45:54.478701 np0000039885 memory_tracker.sh[52017]: Sun Jul 19 15:45:54 UTC 2026
Jul 19 15:45:54.478844 np0000039885 memory_tracker.sh[48341]: ---
Jul 19 15:45:54.478844 np0000039885 memory_tracker.sh[48341]: memory_tracker low_point: 6246668
Jul 19 15:45:54.478844 np0000039885 memory_tracker.sh[48341]: ---
Jul 19 15:45:54.479516 np0000039885 memory_tracker.sh[52018]: MemTotal:        8129352 kB
Jul 19 15:45:54.479516 np0000039885 memory_tracker.sh[52018]: MemFree:          200832 kB
Jul 19 15:45:54.479516 np0000039885 memory_tracker.sh[52018]: MemAvailable:    6246668 kB
Jul 19 15:45:54.479516 np0000039885 memory_tracker.sh[52018]: Buffers:          187888 kB
Jul 19 15:45:54.479516 np0000039885 memory_tracker.sh[52018]: Cached:          5798636 kB
Jul 19 15:45:54.479516 np0000039885 memory_tracker.sh[52018]: SwapCached:            0 kB
Jul 19 15:45:54.479516 np0000039885 memory_tracker.sh[52018]: Active:          1402792 kB
Jul 19 15:45:54.479516 np0000039885 memory_tracker.sh[52018]: Inactive:        5516904 kB
Jul 19 15:45:54.479516 np0000039885 memory_tracker.sh[52018]: Active(anon):    1106908 kB
Jul 19 15:45:54.479516 np0000039885 memory_tracker.sh[52018]: Inactive(anon):     1004 kB
Jul 19 15:45:54.479516 np0000039885 memory_tracker.sh[52018]: Active(file):     295884 kB
Jul 19 15:45:54.479516 np0000039885 memory_tracker.sh[52018]: Inactive(file):  5515900 kB
Jul 19 15:45:54.479516 np0000039885 memory_tracker.sh[52018]: Unevictable:      143584 kB
Jul 19 15:45:54.479516 np0000039885 memory_tracker.sh[52018]: Mlocked:          142384 kB
Jul 19 15:45:54.479516 np0000039885 memory_tracker.sh[52018]: SwapTotal:       8388604 kB
Jul 19 15:45:54.479516 np0000039885 memory_tracker.sh[52018]: SwapFree:        8388336 kB
Jul 19 15:45:54.479516 np0000039885 memory_tracker.sh[52018]: Zswap:               244 kB
Jul 19 15:45:54.479516 np0000039885 memory_tracker.sh[52018]: Zswapped:             48 kB
Jul 19 15:45:54.479516 np0000039885 memory_tracker.sh[52018]: Dirty:              5624 kB
Jul 19 15:45:54.479516 np0000039885 memory_tracker.sh[52018]: Writeback:             0 kB
Jul 19 15:45:54.479516 np0000039885 memory_tracker.sh[52018]: AnonPages:       1076916 kB
Jul 19 15:45:54.479516 np0000039885 memory_tracker.sh[52018]: Mapped:           185164 kB
Jul 19 15:45:54.479516 np0000039885 memory_tracker.sh[52018]: Shmem:            154876 kB
Jul 19 15:45:54.479516 np0000039885 memory_tracker.sh[52018]: KReclaimable:     543768 kB
Jul 19 15:45:54.479516 np0000039885 memory_tracker.sh[52018]: Slab:             661172 kB
Jul 19 15:45:54.479516 np0000039885 memory_tracker.sh[52018]: SReclaimable:     543768 kB
Jul 19 15:45:54.479516 np0000039885 memory_tracker.sh[52018]: SUnreclaim:       117404 kB
Jul 19 15:45:54.479516 np0000039885 memory_tracker.sh[52018]: KernelStack:        8572 kB
Jul 19 15:45:54.479516 np0000039885 memory_tracker.sh[52018]: PageTables:        10152 kB
Jul 19 15:45:54.479516 np0000039885 memory_tracker.sh[52018]: SecPageTables:         0 kB
Jul 19 15:45:54.479516 np0000039885 memory_tracker.sh[52018]: NFS_Unstable:          0 kB
Jul 19 15:45:54.479516 np0000039885 memory_tracker.sh[52018]: Bounce:                0 kB
Jul 19 15:45:54.479516 np0000039885 memory_tracker.sh[52018]: WritebackTmp:          0 kB
Jul 19 15:45:54.479516 np0000039885 memory_tracker.sh[52018]: CommitLimit:    12453280 kB
Jul 19 15:45:54.479516 np0000039885 memory_tracker.sh[52018]: Committed_AS:    2870776 kB
Jul 19 15:45:54.479516 np0000039885 memory_tracker.sh[52018]: VmallocTotal:   13743895347199 kB
Jul 19 15:45:54.479516 np0000039885 memory_tracker.sh[52018]: VmallocUsed:       26908 kB
Jul 19 15:45:54.479516 np0000039885 memory_tracker.sh[52018]: VmallocChunk:          0 kB
Jul 19 15:45:54.479516 np0000039885 memory_tracker.sh[52018]: Percpu:             4864 kB
Jul 19 15:45:54.479516 np0000039885 memory_tracker.sh[52018]: HardwareCorrupted:     0 kB
Jul 19 15:45:54.479516 np0000039885 memory_tracker.sh[52018]: AnonHugePages:         0 kB
Jul 19 15:45:54.479516 np0000039885 memory_tracker.sh[52018]: ShmemHugePages:        0 kB
Jul 19 15:45:54.479516 np0000039885 memory_tracker.sh[52018]: ShmemPmdMapped:        0 kB
Jul 19 15:45:54.479516 np0000039885 memory_tracker.sh[52018]: FileHugePages:         0 kB
Jul 19 15:45:54.479516 np0000039885 memory_tracker.sh[52018]: FilePmdMapped:         0 kB
Jul 19 15:45:54.479516 np0000039885 memory_tracker.sh[52018]: Unaccepted:            0 kB
Jul 19 15:45:54.479516 np0000039885 memory_tracker.sh[52018]: HugePages_Total:       0
Jul 19 15:45:54.479516 np0000039885 memory_tracker.sh[52018]: HugePages_Free:        0
Jul 19 15:45:54.479516 np0000039885 memory_tracker.sh[52018]: HugePages_Rsvd:        0
Jul 19 15:45:54.479516 np0000039885 memory_tracker.sh[52018]: HugePages_Surp:        0
Jul 19 15:45:54.479516 np0000039885 memory_tracker.sh[52018]: Hugepagesize:       2048 kB
Jul 19 15:45:54.479516 np0000039885 memory_tracker.sh[52018]: Hugetlb:               0 kB
Jul 19 15:45:54.479516 np0000039885 memory_tracker.sh[52018]: DirectMap4k:      270188 kB
Jul 19 15:45:54.479516 np0000039885 memory_tracker.sh[52018]: DirectMap2M:     8118272 kB
Jul 19 15:45:54.479516 np0000039885 memory_tracker.sh[52018]: DirectMap1G:     2097152 kB
Jul 19 15:45:54.480306 np0000039885 memory_tracker.sh[48341]: ---
Jul 19 15:45:54.492485 np0000039885 memory_tracker.sh[52020]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Jul 19 15:45:54.492485 np0000039885 memory_tracker.sh[52020]:      47699    5.1          416072          1   00:00:01       40 do_poll.constprop.0       /usr/sbin/mysqld
Jul 19 15:45:54.492485 np0000039885 memory_tracker.sh[52020]:      50723    1.7          139912      50722   00:00:03        2 ep_poll                   keystoneuWSGI worker 1
Jul 19 15:45:54.492485 np0000039885 memory_tracker.sh[52020]:      50724    1.7          139688      50722   00:00:03        2 wait_woken                keystoneuWSGI worker 2
Jul 19 15:45:54.492485 np0000039885 memory_tracker.sh[52020]:      17701    1.6          131972          1   00:00:03       32 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Jul 19 15:45:54.492485 np0000039885 memory_tracker.sh[52020]:      46948    1.4          116404          1   00:00:02        1 wait_woken                /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Jul 19 15:45:54.492485 np0000039885 memory_tracker.sh[52020]:      34910    1.4          116224          1   00:00:00       13 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Jul 19 15:45:54.492485 np0000039885 memory_tracker.sh[52020]:      11039    0.4           40552      11037   00:00:00        8 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Jul 19 15:45:54.493075 np0000039885 memory_tracker.sh[52020]:      49444    0.3           28344          1   00:00:00       13 futex_wait_queue          /opt/stack/bin/etcd --name np0000039885 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000039885=http://192.168.1.144:2380 --initial-advertise-peer-urls http://192.168.1.144:2380 --advertise-client-urls http://192.168.1.144:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://192.168.1.144:2379 --log-level=debug
Jul 19 15:45:54.493075 np0000039885 memory_tracker.sh[52020]:        375    0.3           27296          1   00:00:00        7 futex_wait_queue          /sbin/multipathd -d -s
Jul 19 15:45:54.493075 np0000039885 memory_tracker.sh[52020]:      43649    0.3           26852          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Jul 19 15:45:54.493075 np0000039885 memory_tracker.sh[52020]:       2417    0.3           26496       2416   00:00:00        2 do_wait                   /usr/bin/python3
Jul 19 15:45:54.493075 np0000039885 memory_tracker.sh[52020]:      16656    0.2           21944          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-journald
Jul 19 15:45:54.493075 np0000039885 memory_tracker.sh[52020]:       2194    0.2           21004          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Jul 19 15:45:54.493075 np0000039885 memory_tracker.sh[52020]:       1307    0.2           20496          1   00:01:15        2 inet_csk_accept           /usr/bin/python3
Jul 19 15:45:54.493075 np0000039885 memory_tracker.sh[52020]:      50722    0.2           19500          1   00:00:00        1 ep_poll                   keystoneuWSGI master
Jul 19 15:45:54.493075 np0000039885 memory_tracker.sh[52020]:      51095    0.1           15952      51089   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Jul 19 15:45:54.493075 np0000039885 memory_tracker.sh[52020]:      43684    0.1           15392          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Jul 19 15:45:54.493075 np0000039885 memory_tracker.sh[52020]:      37276    0.1           15364          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Jul 19 15:45:54.493075 np0000039885 memory_tracker.sh[52020]:      39301    0.1           14180          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Jul 19 15:45:54.493075 np0000039885 memory_tracker.sh[52020]:          1    0.1           13952          0   00:00:09        1 ep_poll                   /sbin/init nofb
Jul 19 15:45:54.493075 np0000039885 memory_tracker.sh[52020]:      51094    0.1           13476      51089   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Jul 19 15:45:54.493269 np0000039885 memory_tracker.sh[52020]:      11037    0.1           13248          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Jul 19 15:45:54.493269 np0000039885 memory_tracker.sh[52020]:        486    0.1           13068          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Jul 19 15:45:54.493269 np0000039885 memory_tracker.sh[52020]:      51172    0.1           12620          1   00:00:00       10 ep_poll                   /usr/bin/memcached -m 64 -p 11211 -u memcache -l 127.0.0.1 -l ::1 -P /var/run/memcached/memcached.pid
Jul 19 15:45:54.493269 np0000039885 memory_tracker.sh[52020]:       4662    0.1           12380       2420   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2026-07-19-153923
Jul 19 15:45:54.493269 np0000039885 memory_tracker.sh[52020]:       4667    0.1           12304       2420   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2026-07-19-153923.summary.2026-07-19-153923
Jul 19 15:45:54.493269 np0000039885 memory_tracker.sh[52020]:      52013    0.1           11660      51996   00:00:00        1 unix_stream_data_wait     python3 /opt/stack/devstack/files/openstack-cli-server/openstack --os-cloud devstack-system-admin project create demo --domain=default --or-show -f value -c id
Jul 19 15:45:54.493269 np0000039885 memory_tracker.sh[52020]:       1166    0.1           11512          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd --user
Jul 19 15:45:54.493269 np0000039885 memory_tracker.sh[52020]:       2420    0.1           10836       2418   00:00:02        1 pipe_read                 bash ./stack.sh
Jul 19 15:45:54.493269 np0000039885 memory_tracker.sh[52020]:        854    0.1            9648          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-networkd
