Aug 03 15:14:19.518062 np0000040861 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Aug 03 15:14:19.527336 np0000040861 memory_tracker.sh[45020]: [[[
Aug 03 15:14:19.528115 np0000040861 memory_tracker.sh[45037]: Mon Aug  3 15:14:19 UTC 2026
Aug 03 15:14:19.528247 np0000040861 memory_tracker.sh[45020]: ---
Aug 03 15:14:19.596009 np0000040861 memory_tracker.sh[45041]: [iscsid (pid:35960)]=14172KB; [multipathd (pid:392)]=288932KB; [ovs-vswitchd (pid:31475)]=901128KB
Aug 03 15:14:19.602656 np0000040861 memory_tracker.sh[45020]: ]]]
Aug 03 15:14:39.607729 np0000040861 memory_tracker.sh[45020]: [[[
Aug 03 15:14:39.608611 np0000040861 memory_tracker.sh[48663]: Mon Aug  3 15:14:39 UTC 2026
Aug 03 15:14:39.608849 np0000040861 memory_tracker.sh[45020]: ---
Aug 03 15:14:39.608849 np0000040861 memory_tracker.sh[45020]: memory_tracker low_point: 6069448
Aug 03 15:14:39.608849 np0000040861 memory_tracker.sh[45020]: ---
Aug 03 15:14:39.609483 np0000040861 memory_tracker.sh[48664]: MemTotal:        8129364 kB
Aug 03 15:14:39.609483 np0000040861 memory_tracker.sh[48664]: MemFree:          174284 kB
Aug 03 15:14:39.609483 np0000040861 memory_tracker.sh[48664]: MemAvailable:    6069448 kB
Aug 03 15:14:39.609483 np0000040861 memory_tracker.sh[48664]: Buffers:          205476 kB
Aug 03 15:14:39.609483 np0000040861 memory_tracker.sh[48664]: Cached:          5641324 kB
Aug 03 15:14:39.609483 np0000040861 memory_tracker.sh[48664]: SwapCached:            4 kB
Aug 03 15:14:39.609483 np0000040861 memory_tracker.sh[48664]: Active:          1408976 kB
Aug 03 15:14:39.609483 np0000040861 memory_tracker.sh[48664]: Inactive:        5372716 kB
Aug 03 15:14:39.609483 np0000040861 memory_tracker.sh[48664]: Active(anon):    1108640 kB
Aug 03 15:14:39.609483 np0000040861 memory_tracker.sh[48664]: Inactive(anon):     1004 kB
Aug 03 15:14:39.609483 np0000040861 memory_tracker.sh[48664]: Active(file):     300336 kB
Aug 03 15:14:39.609483 np0000040861 memory_tracker.sh[48664]: Inactive(file):  5371712 kB
Aug 03 15:14:39.609483 np0000040861 memory_tracker.sh[48664]: Unevictable:      143596 kB
Aug 03 15:14:39.609483 np0000040861 memory_tracker.sh[48664]: Mlocked:          142396 kB
Aug 03 15:14:39.609483 np0000040861 memory_tracker.sh[48664]: SwapTotal:       8388604 kB
Aug 03 15:14:39.609483 np0000040861 memory_tracker.sh[48664]: SwapFree:        8388336 kB
Aug 03 15:14:39.609483 np0000040861 memory_tracker.sh[48664]: Zswap:               364 kB
Aug 03 15:14:39.609483 np0000040861 memory_tracker.sh[48664]: Zswapped:             68 kB
Aug 03 15:14:39.609483 np0000040861 memory_tracker.sh[48664]: Dirty:              4720 kB
Aug 03 15:14:39.609483 np0000040861 memory_tracker.sh[48664]: Writeback:             0 kB
Aug 03 15:14:39.609483 np0000040861 memory_tracker.sh[48664]: AnonPages:       1078376 kB
Aug 03 15:14:39.609483 np0000040861 memory_tracker.sh[48664]: Mapped:           183760 kB
Aug 03 15:14:39.609483 np0000040861 memory_tracker.sh[48664]: Shmem:            154880 kB
Aug 03 15:14:39.609483 np0000040861 memory_tracker.sh[48664]: KReclaimable:     532668 kB
Aug 03 15:14:39.609483 np0000040861 memory_tracker.sh[48664]: Slab:             661256 kB
Aug 03 15:14:39.609483 np0000040861 memory_tracker.sh[48664]: SReclaimable:     532668 kB
Aug 03 15:14:39.609483 np0000040861 memory_tracker.sh[48664]: SUnreclaim:       128588 kB
Aug 03 15:14:39.609483 np0000040861 memory_tracker.sh[48664]: KernelStack:        8704 kB
Aug 03 15:14:39.609483 np0000040861 memory_tracker.sh[48664]: PageTables:        10148 kB
Aug 03 15:14:39.609483 np0000040861 memory_tracker.sh[48664]: SecPageTables:         0 kB
Aug 03 15:14:39.609483 np0000040861 memory_tracker.sh[48664]: NFS_Unstable:          0 kB
Aug 03 15:14:39.609483 np0000040861 memory_tracker.sh[48664]: Bounce:                0 kB
Aug 03 15:14:39.609483 np0000040861 memory_tracker.sh[48664]: WritebackTmp:          0 kB
Aug 03 15:14:39.609483 np0000040861 memory_tracker.sh[48664]: CommitLimit:    12453284 kB
Aug 03 15:14:39.609483 np0000040861 memory_tracker.sh[48664]: Committed_AS:    2890736 kB
Aug 03 15:14:39.609483 np0000040861 memory_tracker.sh[48664]: VmallocTotal:   13743895347199 kB
Aug 03 15:14:39.609483 np0000040861 memory_tracker.sh[48664]: VmallocUsed:       31116 kB
Aug 03 15:14:39.609483 np0000040861 memory_tracker.sh[48664]: VmallocChunk:          0 kB
Aug 03 15:14:39.609483 np0000040861 memory_tracker.sh[48664]: Percpu:             4992 kB
Aug 03 15:14:39.609483 np0000040861 memory_tracker.sh[48664]: HardwareCorrupted:     0 kB
Aug 03 15:14:39.609483 np0000040861 memory_tracker.sh[48664]: AnonHugePages:         0 kB
Aug 03 15:14:39.609483 np0000040861 memory_tracker.sh[48664]: ShmemHugePages:        0 kB
Aug 03 15:14:39.609483 np0000040861 memory_tracker.sh[48664]: ShmemPmdMapped:        0 kB
Aug 03 15:14:39.609483 np0000040861 memory_tracker.sh[48664]: FileHugePages:         0 kB
Aug 03 15:14:39.609483 np0000040861 memory_tracker.sh[48664]: FilePmdMapped:         0 kB
Aug 03 15:14:39.609483 np0000040861 memory_tracker.sh[48664]: Unaccepted:            0 kB
Aug 03 15:14:39.609483 np0000040861 memory_tracker.sh[48664]: HugePages_Total:       0
Aug 03 15:14:39.609483 np0000040861 memory_tracker.sh[48664]: HugePages_Free:        0
Aug 03 15:14:39.609483 np0000040861 memory_tracker.sh[48664]: HugePages_Rsvd:        0
Aug 03 15:14:39.609483 np0000040861 memory_tracker.sh[48664]: HugePages_Surp:        0
Aug 03 15:14:39.609483 np0000040861 memory_tracker.sh[48664]: Hugepagesize:       2048 kB
Aug 03 15:14:39.609483 np0000040861 memory_tracker.sh[48664]: Hugetlb:               0 kB
Aug 03 15:14:39.609483 np0000040861 memory_tracker.sh[48664]: DirectMap4k:      296812 kB
Aug 03 15:14:39.609483 np0000040861 memory_tracker.sh[48664]: DirectMap2M:     7043072 kB
Aug 03 15:14:39.609483 np0000040861 memory_tracker.sh[48664]: DirectMap1G:     3145728 kB
Aug 03 15:14:39.610974 np0000040861 memory_tracker.sh[45020]: ---
Aug 03 15:14:39.621136 np0000040861 memory_tracker.sh[48666]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Aug 03 15:14:39.621136 np0000040861 memory_tracker.sh[48666]:      44378    5.1          416380          1   00:00:01       40 do_poll.constprop.0       /usr/sbin/mysqld
Aug 03 15:14:39.621136 np0000040861 memory_tracker.sh[48666]:      47414    1.7          140016      47413   00:00:03        2 ep_poll                   keystoneuWSGI worker 1
Aug 03 15:14:39.621136 np0000040861 memory_tracker.sh[48666]:      47415    1.7          139872      47413   00:00:03        2 -                         keystoneuWSGI worker 2
Aug 03 15:14:39.621136 np0000040861 memory_tracker.sh[48666]:      18089    1.6          134116          1   00:00:02       32 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Aug 03 15:14:39.621136 np0000040861 memory_tracker.sh[48666]:      43602    1.4          117328          1   00:00:01        1 wait_woken                /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Aug 03 15:14:39.621136 np0000040861 memory_tracker.sh[48666]:      31475    1.4          116236          1   00:00:00       13 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Aug 03 15:14:39.621136 np0000040861 memory_tracker.sh[48666]:      11458    0.4           40604      11456   00:00:00        8 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Aug 03 15:14:39.621571 np0000040861 memory_tracker.sh[48666]:      46155    0.3           27868          1   00:00:00       12 futex_wait_queue          /opt/stack/bin/etcd --name np0000040861 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000040861=http://192.168.1.108:2380 --initial-advertise-peer-urls http://192.168.1.108:2380 --advertise-client-urls http://192.168.1.108:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://192.168.1.108:2379 --log-level=debug
Aug 03 15:14:39.621571 np0000040861 memory_tracker.sh[48666]:        392    0.3           27296          1   00:00:00        7 futex_wait_queue          /sbin/multipathd -d -s
Aug 03 15:14:39.621571 np0000040861 memory_tracker.sh[48666]:      40307    0.3           26752          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Aug 03 15:14:39.621571 np0000040861 memory_tracker.sh[48666]:       3005    0.3           25664       3004   00:00:00        2 do_wait                   /usr/bin/python3
Aug 03 15:14:39.621571 np0000040861 memory_tracker.sh[48666]:       2790    0.2           20856          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Aug 03 15:14:39.621571 np0000040861 memory_tracker.sh[48666]:      17043    0.2           20312          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-journald
Aug 03 15:14:39.621571 np0000040861 memory_tracker.sh[48666]:       1886    0.2           19932          1   00:01:13        2 inet_csk_accept           /usr/bin/python3
Aug 03 15:14:39.621571 np0000040861 memory_tracker.sh[48666]:      47413    0.2           19448          1   00:00:00        1 ep_poll                   keystoneuWSGI master
Aug 03 15:14:39.621571 np0000040861 memory_tracker.sh[48666]:      47739    0.1           15612      47733   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Aug 03 15:14:39.621571 np0000040861 memory_tracker.sh[48666]:      33830    0.1           15440          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Aug 03 15:14:39.621571 np0000040861 memory_tracker.sh[48666]:      40344    0.1           15360          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Aug 03 15:14:39.621571 np0000040861 memory_tracker.sh[48666]:      35960    0.1           14180          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Aug 03 15:14:39.621571 np0000040861 memory_tracker.sh[48666]:      47737    0.1           14080      47733   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Aug 03 15:14:39.621571 np0000040861 memory_tracker.sh[48666]:          1    0.1           13960          0   00:00:10        1 ep_poll                   /sbin/init nofb
Aug 03 15:14:39.622966 np0000040861 memory_tracker.sh[48666]:      11456    0.1           13172          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Aug 03 15:14:39.622966 np0000040861 memory_tracker.sh[48666]:        508    0.1           13096          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Aug 03 15:14:39.622966 np0000040861 memory_tracker.sh[48666]:      47816    0.1           12620          1   00:00:00       10 ep_poll                   /usr/bin/memcached -m 64 -p 11211 -u memcache -l 127.0.0.1 -l ::1 -P /var/run/memcached/memcached.pid
Aug 03 15:14:39.622966 np0000040861 memory_tracker.sh[48666]:       5220    0.1           12364       3008   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2026-08-03-150612
Aug 03 15:14:39.622966 np0000040861 memory_tracker.sh[48666]:       5225    0.1           12336       3008   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2026-08-03-150612.summary.2026-08-03-150612
Aug 03 15:14:39.622966 np0000040861 memory_tracker.sh[48666]:      48659    0.1           11640      48642   00:00:00        1 unix_stream_data_wait     python3 /opt/stack/devstack/files/openstack-cli-server/openstack --os-cloud devstack-system-admin project create demo --domain=default --or-show -f value -c id
Aug 03 15:14:39.622966 np0000040861 memory_tracker.sh[48666]:       1741    0.1           11412          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd --user
Aug 03 15:14:39.622966 np0000040861 memory_tracker.sh[48666]:       3008    0.1           10836       3006   00:00:02        1 pipe_read                 bash ./stack.sh
Aug 03 15:14:39.622966 np0000040861 memory_tracker.sh[48666]:        869    0.1            9692          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-networkd
Aug 03 15:14:39.622966 np0000040861 memory_tracker.sh[48666]:      47733    0.1            9628          1   00:00:00        1 do_select                 /usr/sbin/apache2 -k start
